name,id,spotify_url,followers,genres,popularity,images
Coldplay,4gzpq5DPGxSnKTe4SA8HAU,https://open.spotify.com/artist/4gzpq5DPGxSnKTe4SA8HAU,42327973,"['permanent wave', 'pop']",90,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb989ed05e1f0570cc4726c2d3', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174989ed05e1f0570cc4726c2d3', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178989ed05e1f0570cc4726c2d3', 'width': 160}]"
Radiohead,4Z8W4fKeB5YxbusRsdQVPb,https://open.spotify.com/artist/4Z8W4fKeB5YxbusRsdQVPb,7919890,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",82,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba03696716c9ee605006047fd', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a03696716c9ee605006047fd', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a03696716c9ee605006047fd', 'width': 160}]"
Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,https://open.spotify.com/artist/0L8ExT028jH3ddEcZwqJJ5,19279139,"['alternative rock', 'funk metal', 'funk rock', 'permanent wave']",85,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebc33cc15260b767ddec982ce8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174c33cc15260b767ddec982ce8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178c33cc15260b767ddec982ce8', 'width': 160}]"
Rihanna,5pKCCKE2ajJHZ9KAiaK11H,https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H,53444290,"['barbadian pop', 'pop', 'urban contemporary']",95,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517499e4fca7c0b7cb166d915789', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17899e4fca7c0b7cb166d915789', 'width': 160}]"
Eminem,7dGJo4pcD2V6oG8kP0tJRR,https://open.spotify.com/artist/7dGJo4pcD2V6oG8kP0tJRR,67013229,"['detroit hip hop', 'hip hop', 'rap']",94,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174a00b11c129b27a88fc72f36b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178a00b11c129b27a88fc72f36b', 'width': 160}]"
The Killers,0C0XlULifJtAgn6ZNCW2eu,https://open.spotify.com/artist/0C0XlULifJtAgn6ZNCW2eu,6890123,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",79,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb207b21f3ed0ee96adce3166a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174207b21f3ed0ee96adce3166a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178207b21f3ed0ee96adce3166a', 'width': 160}]"
Kanye West,5K4W6rqBFWDnAN6FQUkS6x,https://open.spotify.com/artist/5K4W6rqBFWDnAN6FQUkS6x,19466505,"['chicago rap', 'rap']",93,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174867008a971fae0f4d913f63a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178867008a971fae0f4d913f63a', 'width': 160}]"
Nirvana,6olE6TJLqED3rqDCT0FyPh,https://open.spotify.com/artist/6olE6TJLqED3rqDCT0FyPh,17100846,"['alternative rock', 'grunge', 'permanent wave', 'rock']",84,"[{'height': 1057, 'url': 'https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b', 'width': 1000}, {'height': 677, 'url': 'https://i.scdn.co/image/a4e10b79a642e9891383448cbf37d7266a6883d6', 'width': 640}, {'height': 211, 'url': 'https://i.scdn.co/image/42ae0f180f16e2f21c1f2212717fc436f5b95451', 'width': 200}, {'height': 68, 'url': 'https://i.scdn.co/image/e797ad36d56c3fc8fa06c6fe91263a15bf8391b8', 'width': 64}]"
Muse,12Chz98pHFMPJEknJQMWvI,https://open.spotify.com/artist/12Chz98pHFMPJEknJQMWvI,7379824,"['modern rock', 'permanent wave', 'rock']",78,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb0accbbe13e1aa147dd27671c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051740accbbe13e1aa147dd27671c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1780accbbe13e1aa147dd27671c', 'width': 160}]"
Foo Fighters,7jy3rLJdDQY21OgRLCZ9sD,https://open.spotify.com/artist/7jy3rLJdDQY21OgRLCZ9sD,10716110,"['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']",80,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb9a43b87b50cd3d03544bb3e5', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051749a43b87b50cd3d03544bb3e5', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1789a43b87b50cd3d03544bb3e5', 'width': 160}]"
Linkin Park,6XyY86QOPPrYVGvF9ch6wz,https://open.spotify.com/artist/6XyY86QOPPrYVGvF9ch6wz,22832000,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']",88,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb91db14ab76facb2443c17b7b', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517491db14ab76facb2443c17b7b', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17891db14ab76facb2443c17b7b', 'width': 160}]"
