"('Paul Oakenfold', '/bands/paul-oakenfold')","('569 concerts', None)",Paul Oakenfold
"('DJ Paul Oakenfold', '/bands/dj-paul-oakenfold')","('8 concerts', None)",Paul Oakenfold
"('Perfecto Featuring Paul Oakenfold', '/bands/perfecto-featuring-paul-oakenfold')","('1 concerts', None)",Paul Oakenfold
"('Steely Dan', '/bands/steely-dan')","('1,021 concerts', None)",Steely Dan
"('Steely Dane', '/bands/steely-dane')","('3 concerts', None)",Steely Dan
"('Steely Dan & Steve Winwood', '/bands/steely-dan-steve-winwood')","('3 concerts', None)",Steely Dan
"('Steeley Dan', '/bands/steeley-dan')","('2 concerts', None)",Steely Dan
"('Steve Miller. Steely Dan', '/bands/steve-miller-steely-dan')","('2 concerts', None)",Steely Dan
"('Rare Earth/Steely Dan/ Sugarloaf', '/bands/rare-earth-steely-dan-sugarloaf')","('1 concerts', None)",Steely Dan
"('Brooklyn Charmers - Trib. to Steely Dan', '/bands/brooklyn-charmers-trib-to-steely-dan')","('2 concerts', None)",Steely Dan
"('Steely Dan + Steve Windwood', '/bands/steely-dan-steve-windwood')","('1 concerts', None)",Steely Dan
"('Steely Dan with Michael McDonald', '/bands/steely-dan-with-michael-mcdonald')","('1 concerts', None)",Steely Dan
"('FM: A tribute to Steely Dan', '/bands/fm-a-tribute-to-steely-dan')","('1 concerts', None)",Steely Dan
"('Steele Daniels Louis Hall', '/bands/steele-daniels-louis-hall')","('1 concerts', None)",Steely Dan
"('Countdown To Ecstasy - Trib. to Steely Dan', '/bands/countdown-to-ecstasy-trib-to-steely-dan')","('1 concerts', None)",Steely Dan
"('Nearly Dan Band - Trib. To Steely Dan', '/bands/nearly-dan-band-trib-to-steely-dan')","('14 concerts', None)",Steely Dan
"('Steely Dead - Steely Dan & Grateful Dead Trib.', '/bands/steely-dead-steely-dan-grateful-dead-trib')","('3 concerts', None)",Steely Dan
"('The Royal Scam - A Trib. to Steely Dan', '/bands/the-royal-scam-a-trib-to-steely-dan')","('2 concerts', None)",Steely Dan
"('The Todd Harrold Band Performs Steely Dan', '/bands/the-todd-harrold-band-performs-steely-dan')","('1 concerts', None)",Steely Dan
"('Steely Dane - Trib. To Steely Dan', '/bands/steely-dane-trib-to-steely-dan')","('5 concerts', None)",Steely Dan
"('King Of The World - A Trib. to Steely Dan', '/bands/king-of-the-world-a-trib-to-steely-dan')","('1 concerts', None)",Steely Dan
"('Steely Danish', '/bands/steely-danish')","('1 concerts', None)",Steely Dan
"('Stealin Dan - Trib To Steely Dan', '/bands/stealin-dan-trib-to-steely-dan')","('2 concerts', None)",Steely Dan
"('Show Biz Kids - Trib. To Steely Dan', '/bands/show-biz-kids-trib-to-steely-dan')","('3 concerts', None)",Steely Dan
"('Nearly Dan - Trib. To Steely Dan', '/bands/nearly-dan-trib-to-steely-dan')","('23 concerts', None)",Steely Dan
"('Do It Again - Trib. to Steely Dan', '/bands/do-it-again-trib-to-steely-dan')","('1 concerts', None)",Steely Dan
"('Pretzel Logic (Steely Dan Revue)', '/bands/pretzel-logic-steely-dan-revue')","('8 concerts', None)",Steely Dan
"('Dealing Stan - Trib. To Steely Dan', '/bands/dealing-stan-trib-to-steely-dan')","('1 concerts', None)",Steely Dan
"('Kenny Loggins', '/bands/kenny-loggins')","('851 concerts', None)",Kenny Loggins
"('Daryl Hall and John Oates/Kenny Loggins', '/bands/daryl-hall-and-john-oates-kenny-loggins')","('1 concerts', None)",Kenny Loggins
"('Daughter', '/bands/daughter')","('413 concerts', None)",Daughter
"('Daughters', '/bands/daughters')","('267 concerts', None)",Daughter
"('Sons and Daughters', '/bands/sons-and-daughters')","('254 concerts', None)",Daughter
"('Daughter of Swords', '/bands/daughter-of-swords')","('46 concerts', None)",Daughter
"('Communist Daughter', '/bands/communist-daughter')","('108 concerts', None)",Daughter
"(""Boss' Daughter"", '/bands/boss-daughter')","('17 concerts', None)",Daughter
"('Our Native Daughters', '/bands/our-native-daughters')","('5 concerts', None)",Daughter
"('All Sons and Daughters', '/bands/all-sons-and-daughters')","('12 concerts', None)",Daughter
"('Dakh Daughters', '/bands/dakh-daughters')","('15 concerts', None)",Daughter
"(""Romeo's Daughter"", '/bands/romeo-s-daughter')","('21 concerts', None)",Daughter
"('Buffalo Daughter', '/bands/buffalo-daughter')","('24 concerts', None)",Daughter
"('Problem Daughter', '/bands/problem-daughter')","('9 concerts', None)",Daughter
"('Sons & Daughters', '/bands/sons-daughters')","('11 concerts', None)",Daughter
"('Native Daughters', '/bands/native-daughters')","('17 concerts', None)",Daughter
"('Daughters of Reykjavik', '/bands/daughters-of-reykjavik')","('2 concerts', None)",Daughter
"('Red Daughters', '/bands/red-daughters')","('38 concerts', None)",Daughter
"(""Joker's Daughter"", '/bands/joker-s-daughter')","('2 concerts', None)",Daughter
"('Her 6 Daughters', '/bands/her-6-daughters')","('9 concerts', None)",Daughter
"(""Someone's Daughter"", '/bands/someone-s-daughter')","('1 concerts', None)",Daughter
"('Nordic Daughter', '/bands/nordic-daughter')","('5 concerts', None)",Daughter
"('40 Sons And Daughters', '/bands/40-sons-and-daughters')","('1 concerts', None)",Daughter
"(""Our Daughter's Wedding"", '/bands/our-daughter-s-wedding')","('4 concerts', None)",Daughter
"('Savage Daughters', '/bands/savage-daughters')","('7 concerts', None)",Daughter
"(""Sherlock's Daughter"", '/bands/sherlock-s-daughter')","('29 concerts', None)",Daughter
"('Daugthers', '/bands/daugthers')","('2 concerts', None)",Daughter
"('Andy Williams (UK)', '/bands/andy-williams-uk')","('4 concerts', None)",Andy Williams
"('andy williams', '/bands/andy-williams')","('80 concerts', None)",Andy Williams
"('Andy Williamson', '/bands/andy-williamson')","('1 concerts', None)",Andy Williams
"('""The Andy Williams Christmas Extravaganza""', '/bands/the-andy-williams-christmas-extravaganza')","('16 concerts', None)",Andy Williams
"('Andy Williams (DJ)', '/bands/andy-williams-dj')","('2 concerts', None)",Andy Williams
"('Andy Williams Moon River And Me! Starring Jimmy Osmond', '/bands/andy-williams-moon-river-and-me-starring-jimmy-osmond')","('7 concerts', None)",Andy Williams
"('Sick Puppies', '/bands/sick-puppies')","('912 concerts', None)",Sick Puppies
"('The Sick Puppies', '/bands/the-sick-puppies')","('4 concerts', None)",Sick Puppies
"('Ja Rule', '/bands/ja-rule')","('402 concerts', None)",Ja Rule
"('Ashanti and Ja Rule', '/bands/ashanti-and-ja-rule')","('4 concerts', None)",Ja Rule
"('Ja Rule (with Ashanti)', '/bands/ja-rule-with-ashanti')","('3 concerts', None)",Ja Rule
"('Skid Row', '/bands/skid-row')","('1,240 concerts', None)",Skid Row
"('Skid Row,', '/bands/skid-row-a42d4691-a1bd-4107-b731-59ea24b85b40')","('5 concerts', None)",Skid Row
"('Skid Row 1995', '/bands/skid-row-1995')","('1 concerts', None)",Skid Row
"('Skid Row GnR', '/bands/skid-row-gnr')","('1 concerts', None)",Skid Row
"('Sebastian Bach Skid Row', '/bands/sebastian-bach-skid-row')","('1 concerts', None)",Skid Row
"('Stryper/Skid Row', '/bands/stryper-skid-row')","('1 concerts', None)",Skid Row
"('KISS with Skid Row', '/bands/kiss-with-skid-row')","('1 concerts', None)",Skid Row
"('Bon Jovi/ Skid Row', '/bands/bon-jovi-skid-row')","('1 concerts', None)",Skid Row
"('Kiss. Skid Row', '/bands/kiss-skid-row')","('1 concerts', None)",Skid Row
"('Skid Row special guest L.A. Guns', '/bands/skid-row-special-guest-l-a-guns')","('1 concerts', None)",Skid Row
"('BON JOVI/Skid Row', '/bands/bon-jovi-skid-row-6d58c462-0248-422e-8634-2a98d1051025')","('1 concerts', None)",Skid Row
"('SKID ROW, Pantera', '/bands/skid-row-pantera')","('1 concerts', None)",Skid Row
