concert_date,concert_set_name,venue_name,venue_location,artist_name (foreign_key)
"May 17, 2023 Upcoming",Coldplay,Coimbra Stadium,"Coimbra, Coimbra, Portugal",Coldplay
"Mar 28, 2023 Upcoming",COLDPLAY - Music of the SPHERES,Estádio Olímpico Nilton Santos,"Rio de Janeiro, Rio de Janeiro, Brazil",Coldplay
"Mar 26, 2023 Upcoming",Coldplay / H.E.R.,Estádio Olímpico João Havelange,"Rio de Janeiro, Rio de Janeiro, Brazil",Coldplay
"Mar 25, 2023 Upcoming",Coldplay / CHVRCHES / Clara x Sofia,Estádio Olímpico Nilton Santos,"Rio de Janeiro, Rio de Janeiro, Brazil",Coldplay
"Show Duplicate for Mar 25, 2023","Show Duplicate for Mar 25, 2023","Show Duplicate for Mar 25, 2023","Show Duplicate for Mar 25, 2023",Coldplay
"Mar 22, 2023 Upcoming",Coldplay / CHVRCHES / Clara x Sofia,Couto Pereira,"Curitiba, Paraná, Brazil",Coldplay
"Mar 21, 2023 Upcoming",Coldplay / CHVRCHES / Clara x Sofia,Couto Pereira,"Curitiba, Paraná, Brazil",Coldplay
"Mar 18, 2023 Upcoming",Coldplay / H.E.R.,Allianz Parque,"Sao Paulo, Brazil",Coldplay
"Show Duplicate for Mar 18, 2023","Show Duplicate for Mar 18, 2023","Show Duplicate for Mar 18, 2023","Show Duplicate for Mar 18, 2023",Coldplay
"Mar 17, 2023 Upcoming",Coldplay / H.E.R.,Allianz Parque,"São Paulo, São Paulo, Brazil",Coldplay
"Show Duplicate for Mar 17, 2023","Show Duplicate for Mar 17, 2023","Show Duplicate for Mar 17, 2023","Show Duplicate for Mar 17, 2023",Coldplay
"Mar 14, 2023 Upcoming",Coldplay / H.E.R.,Allianz Parque,"Sao Paulo, Brazil",Coldplay
"Mar 13, 2023 Upcoming",Coldplay / H.E.R.,Allianz Parque,"Sao Paulo, Brazil",Coldplay
"Mar 11, 2023 Upcoming",Coldplay / H.E.R.,Allianz Parque,"Sao Paulo, Brazil",Coldplay
"Mar 10, 2023 Upcoming",Coldplay / H.E.R.,Allianz Parque,"Sao Paulo, Brazil",Coldplay
4-Feb-23,Coldplay On SNL  Setlists,NBC Studios,"New York, New York, United States",Coldplay
10-Dec-22,Capital Jingle Bell Ball 2022 KSI / Sam Smith / Mimi Webb / Tom Grennan / Lewis Capaldi / NATHAN DAWE / Sigala / MistaJam / Coldplay / LF System / Eliza Rose / Belters Only  Photos  Setlists,The 02 Arena,"London, England, United Kingdom",Coldplay
"Show Duplicate for Dec 10, 2022","Show Duplicate for Dec 10, 2022","Show Duplicate for Dec 10, 2022","Show Duplicate for Dec 10, 2022",Coldplay
8-Nov-22,Coldplay  Setlists,Estadio Monumental Antonio Vespucio Liberti,"Buenos Aires, Buenos Aires F.D., Argentina",Coldplay
7-Nov-22,Coldplay  Setlists,Estadio Monumental Antonio Vespucio Liberti,"Buenos Aires, Buenos Aires F.D., Argentina",Coldplay
5-Nov-22,Coldplay  Setlists,Estadio Monumental Antonio Vespucio Liberti,"Buenos Aires, Buenos Aires F.D., Argentina",Coldplay
4-Nov-22,Coldplay  Setlists,Estadio Monumental Antonio Vespucio Liberti,"Buenos Aires, Buenos Aires F.D., Argentina",Coldplay
2-Nov-22,Coldplay  Setlists,Estadio Monumental Antonio Vespucio Liberti,"Buenos Aires, Buenos Aires F.D., Argentina",Coldplay
1-Nov-22,Music of the Spheres Tour Coldplay / H.E.R / Zoe Gotusso  Setlists,Estadio Monumental Antonio Vespucio Liberti,"Buenos Aires, Buenos Aires F.D., Argentina",Coldplay
"Show Duplicate for Nov 01, 2022","Show Duplicate for Nov 01, 2022","Show Duplicate for Nov 01, 2022","Show Duplicate for Nov 01, 2022",Coldplay
"Mar 25, 2023 Upcoming",Coldplay / H.E.R.,Estádio Olímpico João Havelange,"Rio de Janeiro, Rio de Janeiro, Brazil",Coldplay
"Mar 18, 2023 Upcoming",Coldplay,Allianz Parque,"Sao Paulo, Brazil",Coldplay
"Mar 17, 2023 Upcoming",Music Of The Spheres World Tour Coldplay,Estádio do Morumbi,"São Paulo, São Paulo, Brazil",Coldplay
10-Dec-22,JingleBellBall Setlists,The O2,"London, England, United Kingdom",Coldplay
1-Nov-22,Coldplay / H.E.R. (US)  Setlists,Estadio Monumental Antonio Vespucio Liberti,"Buenos Aires, Buenos Aires F.D., Argentina",Coldplay
20-Jun-17,Radiohead Radiohead / Junun  Setlists,3Arena,"Dublin, Leinster, Ireland",Radiohead
"Show Duplicates for Jun 20, 2017","Show Duplicates for Jun 20, 2017","Show Duplicates for Jun 20, 2017","Show Duplicates for Jun 20, 2017",Radiohead
18-Jun-17,"Best Kept Secret 2017 Iguana Death Cult / Kaleo / Marlon Williams / The Homesick / Junun (feat. Shye Ben Tzur, Jonny Greenwood & The Rajasthan Express) / Strand of Oaks / Radiohead / American Football  Setlists",Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
"Show Duplicates for Jun 18, 2017","Show Duplicates for Jun 18, 2017","Show Duplicates for Jun 18, 2017","Show Duplicates for Jun 18, 2017",Radiohead
"Jun 17, 2017 –Jun 20, 2017",Best Kept Secret Arcade Fire / Metronomy / Real Estate / Cloud Nothings / Radiohead / Leif Vollebekk / American Football / Circa Waves / The Wytches / Tall Heights / Mannequin Pussy / Froth / Andy Shauf / AURORA (Norway) / Floating Points / Weval / Cigarettes After Sex / Amber Arcades / King Gizzard & The Lizard Wizard / Ry X / Slotface / Yung Internet / Run the Jewels / Zeal & Ardor Show all bands Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
"Jun 16, 2017 –Jun 18, 2017",Best Kept Secret Festival 2017 Radiohead / Arcade Fire / James Blake / George Ezra / Her / Metronomy / Cigarettes After Sex / Kaleo / Real Estate / Thundercat / Run the Jewels / Mitski / Agnes Obel / King Gizzard & The Lizard Wizard / Ry X / The Japanese House / Whitney / Cass McCombs / Cloud Nothings / Wild Beasts / Soulwax / Sundara Karma / The Boxer Rebellion / Floating Points / Hundred Waters / Tei Shi / Joey Purp / American Football / Tall Heights / Andy Shauf / Weval / The Amazons / Joy Orbison / Kikagaku Moyo / Kadhja Bonet / Arab Strap / Thomas Dybdahl / Strand of Oaks / Leif Vollebekk / Honeyblood / Kelly Lee Owens / Jenny Hval / Aurora (US) / Laurel Halo / Marlon Williams / Tommy Cash / The Wytches / Yussef Kamaal / Froth / Fil Bo Riva / Zeal and Ardor / Section Boyz / Gilla Band / Kaitlyn Aurelia Smith / Show Me The Body / Mannequin Pussy / Thomas Azier / Kornél Kovács / Chris Cohen / Denis Sulta / SLØTFACE / Amber Arcades / The Courtneys / WILDES / The Mystery Lights / The Parrots / Shye Ben Tzur / Vatican Shadow / STUFF. / Yung Internet / Kim Janssen / Thurston Moore Group / The Homesick / Iguana Death Cult / Canshaker Pi / Toxe / Junun / DJ Prime Show all bands Setlists,Beekse Bergen,"Hilvarenbeek, North Brabant, Netherlands",Radiohead
"Show Duplicates for Jun 16, 2017","Show Duplicates for Jun 16, 2017","Show Duplicates for Jun 16, 2017","Show Duplicates for Jun 16, 2017",Radiohead
"Jun 15, 2017 –Jun 18, 2017",I-Days 2017  Setlists,Autodromo Di Monza,"Monza, Lombardy, Italy",Radiohead
"Show Duplicates for Jun 15, 2017","Show Duplicates for Jun 15, 2017","Show Duplicates for Jun 15, 2017","Show Duplicates for Jun 15, 2017",Radiohead
14-Jun-17,Radiohead / James Blake  Setlists,Ippodromo del Visarno,"Florence, Tuscany, Italy",Radiohead
"Show Duplicates for Jun 14, 2017","Show Duplicates for Jun 14, 2017","Show Duplicates for Jun 14, 2017","Show Duplicates for Jun 14, 2017",Radiohead
11-Jun-17,"Northside Festival (Denmark) ""Northside Festival"" (Denmark) / Radiohead / The 1975 / Mando Diao / Agnes Obel / James Blake / Rasmus Walter / Thomas Dybdahl / LISS  Setlists",Adalen,"Aarhus, Central Jutland, Denmark",Radiohead
"Jun 09, 2017 –Jun 11, 2017",Northside 2017 Radiohead / Frank Ocean / Bastille / The 1975 / MØ / Run the Jewels / Agnes Obel / Veronica Maggio / The Afghan Whigs / Phlake / Thomas Helmig / She-Devils / Bisse  Setlists,Northside,"Aarhus, Central Jutland, Denmark",Radiohead
"Show Duplicates for Jun 09, 2017","Show Duplicates for Jun 09, 2017","Show Duplicates for Jun 09, 2017","Show Duplicates for Jun 09, 2017",Radiohead
7-Jun-17,Radiohead  Setlists,Oslo Spektrum,"Oslo, Oslo, Norway",Radiohead
"Show Duplicate for Jun 07, 2017","Show Duplicate for Jun 07, 2017","Show Duplicate for Jun 07, 2017","Show Duplicate for Jun 07, 2017",Radiohead
6-Jun-17,Radiohead  Setlists,Oslo Spektrum,"Oslo, Oslo, Norway",Radiohead
"Show Duplicate for Jun 06, 2017","Show Duplicate for Jun 06, 2017","Show Duplicate for Jun 06, 2017","Show Duplicate for Jun 06, 2017",Radiohead
"May 08, 2017 –Jan 08, 2017",Radiohead,,,Radiohead
"Apr 21, 2017 –Apr 23, 2017",Coachella 2017 Lady Gaga / Radiohead / Kendrick Lamar / The xx / Lorde / Bon Iver / Bastille / Future / Two Door Cinema Club / DJ Khaled / Mac Miller / Gryffin / Tove Lo / ScHoolboy Q / Jai Wolf / Martin Garrix / Grouplove / Pond / Empire of the Sun / Gucci Mane / Tourist / Travis Scott / DJ Snake / Justice / New Order / Local Natives / Maya Jane Coles / Phantogram / Bonobo / Crystal Castles / Whitney / Capital Cities / Shura / Floating Points / The Head and the Heart / Blossoms / Röyksopp / Twin Peaks / Nora en Pure / Lil Uzi Vert / Arkells / BANKS / Little Dragon / Lee Fields & The Expressions / Galantis / Glass Animals / Hans Zimmer / Porter Robinson / Solomun / Kehlani / Mac DeMarco / Mitski / Dillon Francis / Tory Lanez / DJ Shadow / Real Estate / SOFI TUKKER / Warpaint / Autograf / Father John Misty / D.R.A.M. / Hot Since 82 / Devendra Banhart / Future Islands / Tycho / Anna Lunoe / Brodinski / Hinds / Four Tet / Oh Wonder / Marshmello / Madeon / Broods / Kaytranada / SNBRN / Sampha / Kiiara / Preoccupations / Skepta / Steve Angello / Mura Masa / Majid Jordan / Ezra Furman / GoldLink / Bicep / Nicolas Jaar / Thundercat / SOHN / Caveman / The Avalanches / Richie Hawtin / Tennis / Shannon and the Clams / Chicano Batman / Tale Of Us / Kaleo / Moderat / Toots & The Maytals / Daphni / What So Not / Stormzy / Jack Garratt / Big Gigantic / Preservation Hall Jazz Band / BreakBot / NAV / Raury / HONNE / Róisín Murphy / Classixx / Loco Dice / NAO / Denzel Curry / Sam Gellaitry / Kungs / T.S.O.L. / Francis and the Lights / Jagwar Ma / Bishop Briggs / JOSEPH / Allah-Las / King Gizzard & The Lizard Wizard / Grace Mitchell / Car Seat Headrest / Sasha / Hannah Wants / Guided By Voices / The Lemon Twigs / Dixon / Surf Curse / The Martinez Brothers / Pnl / Patrick Topping / S U R V I V E / Marcel Dettmann / The Interrupters / Tacocat / Slow Hollows / Eli & Fur / Klangstof / Banks & Steelz / Swet Shop Boys / Red Axes / Porter Robinson & Madeon / Floorplan / Ben UFO / Downtown Boys / Show Me The Body / DREAMCAR / Honey Dijon / Thee Commons / Zipper Club / DIAMANTE ELECTRICO / Tall Juan / Las Ligas Menores / Atomics / Los Blenders / QUITAPENAS / The Paranoyds / Surfbort / The Belleville Three / Alison Swing / Jen Ferrer / Dudu Tassa & The Kuwaitis / Chris Cruse Show all bands Setlists,Empire Polo Club,"Indio, California, United States",Radiohead
"Show Duplicates for Apr 21, 2017","Show Duplicates for Apr 21, 2017","Show Duplicates for Apr 21, 2017","Show Duplicates for Apr 21, 2017",Radiohead
19-Apr-17,Radiohead,,,Radiohead
18-Apr-17,Radiohead  Setlists,"William Randolph Hearst Greek Theatre, University of California, Berkeley","Berkeley, California, United States",Radiohead
17-Apr-17,Radiohead  Setlists,"William Randolph Hearst Greek Theatre, University of California, Berkeley","Berkeley, California, United States",Radiohead
"Show Duplicates for Apr 17, 2017","Show Duplicates for Apr 17, 2017","Show Duplicates for Apr 17, 2017","Show Duplicates for Apr 17, 2017",Radiohead
"Apr 14, 2017 –Apr 16, 2017",Coachella 2017  Setlists,Empire Polo Club,"Indio, California, United States",Radiohead
"Show Duplicates for Apr 14, 2017","Show Duplicates for Apr 14, 2017","Show Duplicates for Apr 14, 2017","Show Duplicates for Apr 14, 2017",Radiohead
11-Apr-17,Radiohead  Setlists,Santa Barbara Bowl,"Santa Barbara, California, United States",Radiohead
"Show Duplicates for Apr 11, 2017","Show Duplicates for Apr 11, 2017","Show Duplicates for Apr 11, 2017","Show Duplicates for Apr 11, 2017",Radiohead
9-Apr-17,Radiohead  Setlists,Moda Center at the Rose Quarter,"Portland, Oregon, United States",Radiohead
"Show Duplicates for Apr 09, 2017","Show Duplicates for Apr 09, 2017","Show Duplicates for Apr 09, 2017","Show Duplicates for Apr 09, 2017",Radiohead
8-Apr-17,A Moon Shaped Pool  Setlists,Climate Pledge Arena,"Seattle, Washington, United States",Radiohead
"Show Duplicates for Apr 08, 2017","Show Duplicates for Apr 08, 2017","Show Duplicates for Apr 08, 2017","Show Duplicates for Apr 08, 2017",Radiohead
5-Apr-17,Radiohead Radiohead  Setlists,Sprint Center,"Kansas City, Missouri, United States",Radiohead
"Show Duplicates for Apr 05, 2017","Show Duplicates for Apr 05, 2017","Show Duplicates for Apr 05, 2017","Show Duplicates for Apr 05, 2017",Radiohead
