,artist,search_result,page_url,concert_count,l_score,rank
0,Coldplay,Coldplay,bands/coldplay,1258,0,1
13,Radiohead,Radiohead,bands/radiohead,1102,0,1
22,Red Hot Chili Peppers,Red Hot Chili Peppers,bands/red-hot-chili-peppers,1697,0,1
32,Rihanna,Rihanna,bands/rihanna,663,0,1
37,Eminem,Eminem,bands/eminem,349,0,1
51,The Killers,The Killers,bands/the-killers,1281,0,1
76,Kanye West,Kanye West,bands/kanye-west,677,0,1
81,Nirvana,Nirvana,bands/nirvana,310,0,1
106,Muse,Muse,bands/muse,1611,0,1
156,Foo Fighters,Foo Fighters,bands/foo-fighters--3,1552,0,1
175,Linkin Park,Linkin Park,bands/linkin-park--4,851,0,1
180,Lady Gaga,Lady Gaga,bands/lady-gaga,853,0,1
187,The Rolling Stones,The Rolling Stones,bands/the-rolling-stones,1464,0,1
212,Daft Punk,Daft Punk,bands/daft-punk,91,0,1
225,Green Day,Green Day,bands/green-day,1189,0,1
250,Katy Perry,Katy Perry,bands/katy-perry,781,0,1
278,Oasis,Oasis,bands/oasis,837,0,1
303,Gorillaz,Gorillaz,bands/gorillaz,293,0,1
328,Beyoncé,Beyoncé,bands/beyonce,661,0,1
331,Michael Jackson,Michael Jackson,bands/michael-jackson,392,0,1
356,Maroon 5,Maroon 5,bands/maroon-5--2,1128,0,1
361,Arctic Monkeys,Arctic Monkeys,bands/arctic-monkeys,1055,0,1
363,System of a Down,System of a Down,bands/system-of-a-down--2,721,0,1
367,U2,U2,bands/u2,1836,0,1
392,Kings of Leon,Kings Of Leon,bands/kings-of-leon,1272,1,1
419,David Bowie,David Bowie,bands/david-bowie,1078,0,1
444,The Black Eyed Peas,Black Eyed Peas,bands/black-eyed-peas--3,790,4,1
445,The Strokes,The Strokes,bands/the-strokes,716,0,1
460,Britney Spears,Britney Spears,bands/britney-spears,871,0,1
486,Franz Ferdinand,Franz Ferdinand,bands/franz-ferdinand,1141,0,1
491,The Doors,The Doors,bands/the-doors,473,0,1
516,JAY-Z,Jay-Z,bands/jay-z,690,2,1
522,Madonna,Madonna,bands/madonna,803,0,1
571,Weezer,Weezer,bands/weezer--2,1200,0,1
596,Snow Patrol,Snow Patrol,bands/snow-patrol,1054,0,1
603,blink‐182,blink-182,bands/blink-182--9,1142,1,1
611,The White Stripes,The White Stripes,bands/the-white-stripes,324,0,1
612,The Cure,The Cure,bands/the-cure,1586,0,1
687,Aerosmith,Aerosmith,bands/aerosmith,2362,0,1
707,The Offspring,The Offspring,bands/the-offspring,1513,0,1
712,Metallica,Metallica,bands/metallica,2263,0,1
736,R.E.M.,R.E.M.,bands/r-e-m,1561,0,1
757,Blur,Blur,bands/blur,739,0,1
782,Adele,Adele,bands/adele,373,0,1
807,Rage Against the Machine,Rage Against The Machine,bands/rage-against-the-machine--3,580,1,1
825,Death Cab for Cutie,Death Cab for Cutie,bands/death-cab-for-cutie--2,1197,0,1
827,Nickelback,Nickelback,bands/nickelback,1063,0,1
828,Justin Timberlake,Justin Timberlake,bands/justin-timberlake,593,0,1
829,The Smashing Pumpkins,The Smashing Pumpkins,bands/smashing-pumpkins,1615,0,1
833,MGMT,MGMT,bands/mgmt,707,0,1
847,Johnny Cash,johnny cash,bands/johnny-cash,137,2,1
872,Christina Aguilera,Christina Aguilera,bands/christina-aguilera,382,0,1
874,David Guetta,David Guetta,bands/david-guetta,1214,0,1
877,The Who,The Who,bands/the-who,2329,0,1
902,Jimi Hendrix,Jimi Hendrix,bands/jimi-hendrix,312,0,1
920,Fall Out Boy,Fall Out Boy,bands/fall-out-boy,1526,0,1
921,Pearl Jam,Pearl Jam,bands/pearl-jam--4,1030,0,1
971,Depeche Mode,Depeche Mode,bands/depeche-mode,1564,0,1
982,Moby,Moby,bands/moby,889,0,1
1007,Bob Dylan,Bob Dylan,bands/bob-dylan,3891,0,1
1024,Usher,Usher,bands/usher,614,0,1
1047,50 Cent,50 Cent,bands/50-cent,613,0,1
1050,The Kooks,The Kooks,bands/the-kooks,1058,0,1
1067,Placebo,Placebo,bands/placebo--5,1364,0,1
1078,Avril Lavigne,Avril Lavigne,bands/avril-lavigne,687,0,1
1083,Chris Brown,Chris Brown,bands/chris-brown,767,0,1
1095,Incubus,Incubus,bands/incubus,1328,0,1
1099,Massive Attack,Massive Attack,bands/massive-attack,748,0,1
1104,Arcade Fire,Arcade Fire,bands/arcade-fire,771,0,1
1106,Korn,Korn,bands/korn,2218,0,1
1131,Jack Johnson,Jack Johnson,bands/jack-johnson,750,0,1
1143,3 Doors Down,3 Doors Down,bands/3-doors-down,1398,0,1
1144,Amy Winehouse,Amy Winehouse,bands/amy-winehouse,144,0,1
1155,Bloc Party,Bloc Party,bands/bloc-party,1098,0,1
1180,OutKast,OutKast,bands/outkast,173,0,1
1197,Elton John,Elton John,bands/elton-john,4095,0,1
1221,Yeah Yeah Yeahs,Yeah Yeah Yeahs,bands/yeah-yeah-yeahs,504,0,1
1235,P!nk,P!nk,bands/p-nk,1145,0,1
1244,Snoop Dogg,Snoop Dogg,bands/snoop-dogg--664467,1141,0,1
1249,Kid Cudi,Kid Cudi,bands/kid-cudi,416,0,1
1253,Kesha,Kesha,bands/kesha,505,0,1
1276,Paramore,Paramore,bands/paramore--2,1194,0,1
1281,Queens of the Stone Age,Queens of the Stone Age,bands/queens-of-the-stone-age--3,1374,0,1
1285,Papa Roach,Papa Roach,bands/papa-roach,2034,0,1
1291,Mariah Carey,Mariah Carey,bands/mariah-carey,510,0,1
1293,John Mayer,John Mayer,bands/john-mayer,1130,0,1
1307,Black Sabbath,Black Sabbath,bands/black-sabbath,1919,0,1
1331,Kasabian,Kasabian,bands/kasabian--3,984,0,1
1335,The Beach Boys,The Beach Boys,bands/the-beach-boys,5333,0,1
1338,Kelly Clarkson,Kelly Clarkson,bands/kelly-clarkson,793,0,1
1341,T.I.,T.I.,bands/t-i,524,0,1
1366,Keane,Keane,bands/keane,814,0,1
1391,Eric Clapton,Eric Clapton,bands/eric-clapton,2017,0,1
1414,Florence + the Machine,Florence + the Machine,bands/florence-the-machine--3,737,0,1
1420,Modest Mouse,Modest Mouse,bands/modest-mouse--2,1395,0,1
1421,Elvis Presley,Elvis Presley,bands/elvis-presley,1050,0,1
1431,Disturbed,Disturbed,bands/disturbed,1339,0,1
1472,Evanescence,Evanescence,bands/evanescence,847,0,1
1476,My Chemical Romance,My Chemical Romance,bands/my-chemical-romance,1024,0,1
1482,Creedence Clearwater Revival,Creedence Clearwater Revival,bands/creedence-clearwater-revival,190,0,1
1488,Thirty Seconds to Mars,Thirty Seconds to Mars,bands/thirty-seconds-to-mars--3,1209,0,1
1490,Frank Sinatra,Frank Sinatra,bands/frank-sinatra,364,0,1
1502,Bon Jovi,Bon Jovi,bands/bon-jovi,1992,0,1
1526,Slipknot,Slipknot,bands/slipknot,1402,0,1
1536,Shakira,Shakira,bands/shakira,516,0,1
1549,The Shins,The Shins,bands/the-shins,590,0,1
1555,The Clash,The Clash,bands/the-clash,571,0,1
1599,Alicia Keys,Alicia Keys,bands/alicia-keys,628,0,1
1603,Pixies,Pixies,bands/pixies,1276,0,1
1625,Limp Bizkit,Limp Bizkit,bands/limp-bizkit,903,0,1
1629,The Smiths,The Smiths,bands/the-smiths,55,0,1
1654,OneRepublic,OneRepublic,bands/onerepublic,935,0,1
1657,The Cranberries,The Cranberries,bands/the-cranberries,783,0,1
1658,The Police,The Police,bands/the-police,859,0,1
1683,Kaiser Chiefs,Kaiser Chiefs,bands/kaiser-chiefs,1113,0,1
1690,Jason Mraz,Jason Mraz,bands/jason-mraz,1182,0,1
1692,Interpol,Interpol,bands/interpol,1121,0,1
1704,Beastie Boys,Beastie Boys,bands/beastie-boys,787,0,1
1714,Nelly Furtado,Nelly Furtado,bands/nelly-furtado,362,0,1
1717,Three Days Grace,Three Days Grace,bands/three-days-grace,1352,0,1
1724,The Chemical Brothers,The Chemical Brothers,bands/the-chemical-brothers,365,0,1
1729,Sum 41,Sum 41,bands/sum-41,1375,0,1
1736,Marilyn Manson,Marilyn Manson,bands/marilyn-manson,1611,0,1
1750,The Prodigy,The Prodigy,bands/the-prodigy,1107,0,1
1773,Audioslave,Audioslave,bands/audioslave,169,0,1
1776,Taylor Swift,Taylor Swift,bands/taylor-swift--2,1000,0,1
1792,Panic! at the Disco,Panic! At the Disco,bands/panic-at-the-disco--18,1131,1,1
1798,Calvin Harris,Calvin Harris,bands/calvin-harris,1169,0,1
1799,Wiz Khalifa,Wiz Khalifa,bands/wiz-khalifa,1034,0,1
1828,Vampire Weekend,Vampire Weekend,bands/vampire-weekend,742,0,1
1830,Nine Inch Nails,Nine Inch Nails,bands/nine-inch-nails--4,1153,0,1
1858,Lily Allen,Lily Allen,bands/lily-allen,460,0,1
1859,Bruce Springsteen,Bruce Springsteen,bands/bruce-springsteen,2499,0,1
1872,The Black Keys,The Black Keys,bands/the-black-keys,931,0,1
1875,Gwen Stefani,Gwen Stefani,bands/gwen-stefani,324,0,1
1902,Fleetwood Mac,Fleetwood Mac,bands/fleetwood-mac,1796,0,1
1922,Stevie Wonder,Stevie Wonder,bands/stevie-wonder,474,0,1
1935,Dire Straits,Dire Straits,bands/dire-straits,909,0,1
