Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
,,,,,,,
Rihanna,Robyn Rihanna Fenty,1988|2|20,Saint Michael,2003–present,Vocals,Rihanna,"<p class=""mw-empty-elt"">



</p>
<p><b>Robyn Rihanna Fenty</b>  (<span> <span></span></span> <i title=""English pronunciation respelling"">ree-<span>AN</span>-ə</i>; born February 20, 1988) is a Barbadian singer, actress, and businesswoman. Born in Saint Michael and raised in Bridgetown, Barbados, Rihanna auditioned for American record producer Evan Rogers who invited her to the United States to record demo tapes. After signing with Def Jam in 2005, she soon gained recognition with the release of her first two studio albums, <i>Music of the Sun</i> (2005) and <i>A Girl Like Me</i> (2006), both of which were influenced by Caribbean music and peaked within the top ten of the US <i>Billboard</i> 200 chart.
</p><p>Rihanna's third album, <i>Good Girl Gone Bad</i> (2007), incorporated elements of dance-pop and established her status as a sex symbol in the music industry. The chart-topping single ""Umbrella"" earned Rihanna her first Grammy Award and catapulted her to global stardom. She continued to mix pop, dance, and R&amp;B genres on her next studio albums, <i>Rated R</i> (2009), <i>Loud</i> (2010), <i>Talk That Talk</i> (2011), and <i>Unapologetic</i> (2012), the last of which became her first <i>Billboard</i> 200 number one. The albums spawned a string of chart-topping singles, including ""Rude Boy"", ""Only Girl (In the World)"", ""What's My Name?"", ""S&amp;M"", ""We Found Love"", ""Where Have You Been"" and ""Diamonds"". Her eighth album, <i>Anti</i> (2016), showcased a new creative control following her departure from Def Jam. It became her second US number one album and featured the chart-topping single ""Work"". During her musical career, Rihanna has collaborated with many artists, such as Drake, Eminem, Jay-Z, Kanye West, Ne-Yo, and Shakira.
</p><p>With sales of over 250 million records worldwide, Rihanna is the second-best-selling female music artist of all time. She has earned 14 number-ones and 31 top-ten singles in the US and 30 top-ten entries in the UK. Her accolades include nine Grammy Awards, 13 American Music Awards (including the Icon Award), 12 <i>Billboard</i> Music Awards, six <i>Guinness World Records</i>, the NAACP's President's Award, and an Academy Award nomination. <i>Time</i> named her one of the 100 most influential people in the world in 2012 and 2018. <i>Forbes</i> ranked her among the top ten highest-paid celebrities in 2012 and 2014. As of 2022, she is the wealthiest female musician, with an estimated net worth of $1.4 billion.</p><p>Aside from music, Rihanna is known for her involvement in humanitarian causes, entrepreneurial ventures, and the fashion industry. She is the founder of the nonprofit organization Clara Lionel Foundation, cosmetics brand Fenty Beauty, and fashion house Fenty under LVMH; she is the first black woman to head a luxury brand for LVMH. Rihanna has also ventured into acting, appearing in major roles in <i>Battleship</i> (2012), <i>Home</i> (2015), <i>Valerian and the City of a Thousand Planets</i> (2017), and <i>Ocean's 8</i> (2018). She was appointed as an ambassador of education, tourism, and investment by the Government of Barbados in 2018 and was declared a National Hero of Barbados on the first day of the country's parliamentary republic in 2021, entitling her to the style of ""The Right Excellent"" for life.</p>

"
,,,,,,,
Eminem,Marshall Bruce Mathers III,1972|10|17,St. Joseph,1988–present,,Eminem,"<p class=""mw-empty-elt"">
</p>

<p class=""mw-empty-elt"">

</p>
<p><b>Marshall Bruce Mathers III</b> (born October 17, 1972), known professionally as <b>Eminem</b> (<span></span>; often stylized as <b>EMINƎM</b>), is an American rapper and record producer. He is credited with popularizing hip hop in middle America and is critically acclaimed as one of the greatest rappers of all time. Eminem's global success and acclaimed works are widely regarded as having broken racial barriers for the acceptance of white rappers in popular music. While much of his transgressive work during the late 1990s and early 2000s made him widely controversial, he came to be a representation of popular angst of the American underclass and has been cited as an influence for many artists of various genres.
</p><p>After the release of his debut album <i>Infinite</i> (1996) and the extended play <i>Slim Shady EP</i> (1997), Eminem signed with Dr. Dre's Aftermath Entertainment and subsequently achieved mainstream popularity in 1999 with <i>The Slim Shady LP</i>. His next two releases, <i>The Marshall Mathers LP</i> (2000) and <i>The Eminem Show</i> (2002), were worldwide successes and were both nominated for the Grammy Award for Album of the Year. After the release of his next album, <i>Encore</i> (2004), Eminem went on hiatus in 2005, largely due to a prescription drug addiction. He returned to the music industry four years later with the release of <i>Relapse</i> (2009) and <i>Recovery</i> was released the following year. <i>Recovery</i> was the best-selling album worldwide of 2010, making it Eminem's second album, after <i>The Eminem Show</i> in 2002, to be the best-selling album of the year worldwide. In the following years, he released the US number one albums <i>The Marshall Mathers LP 2</i> (2013), <i>Revival</i> (2017), <i>Kamikaze</i> (2018) and <i>Music to Be Murdered By</i> (2020).
</p><p>Eminem made his debut in the film industry with the musical drama film <i>8 Mile</i> (2002), playing a fictionalized version of himself, and his track ""Lose Yourself"" from its soundtrack won the Academy Award for Best Original Song, making him the first hip hop artist ever to win the award. Eminem has made cameo appearances in the films <i>The Wash</i> (2001), <i>Funny People</i> (2009) and <i>The Interview</i> (2014) and the television series <i>Entourage</i> (2010). He has also developed other ventures, including Shady Records, a joint venture with manager Paul Rosenberg, which helped launch the careers of artists such as 50 Cent, D12 and Obie Trice, among others. He has also established his own channel, Shade 45, on Sirius XM Radio.
</p><p>In addition to his solo career, Eminem was a member of the hip hop group D12. He is also known for collaborations with fellow Detroit-based rapper Royce da 5'9""; the two are collectively known as Bad Meets Evil.
</p><p>Eminem is among the best-selling music artists of all time, with estimated worldwide sales of over 220 million records. He was the best-selling music artist in the United States of the 2000s and the best-selling male music artist in the United States of the 2010s, third overall. <i>Billboard</i> named him the ""Artist of the Decade (2000–2009)"". He has had ten number-one albums on the <i>Billboard</i> 200—which all consecutively debuted at number one on the chart, making him the first artist to achieve this—and five number-one singles on the <i>Billboard</i> Hot 100. <i>The Marshall Mathers LP</i>, <i>The Eminem Show</i>, <i>Curtain Call: The Hits</i> (2005), ""Lose Yourself"", ""Love the Way You Lie"" and ""Not Afraid"" have all been certified Diamond or higher by the Recording Industry Association of America (RIAA). <i>Rolling Stone</i> has included him in its lists of the 100 Greatest Artists of All Time and the 100 Greatest Songwriters of All Time. He has won numerous awards, including 15 Grammy Awards, eight American Music Awards, 17 <i>Billboard</i> Music Awards, an Academy Award, a Primetime Emmy Award and an MTV Europe Music Global Icon Award. In November 2022, Eminem was inducted into the Rock and Roll Hall of Fame.</p>


"
,,,,,,,
Kanye West,Kanye Omari West,1977|6|8,Atlanta,1996–present,,Kanye West,"<p class=""mw-empty-elt"">



</p>
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1129693374""><p><b>Ye</b> (<span></span> <i title=""English pronunciation respelling""><span>YAY</span></i>; born <b>Kanye Omari West</b> <span></span> <i title=""English pronunciation respelling""><span>KAHN</span>-yay</i>; June 8, 1977) is an American rapper, singer, songwriter, record producer, and fashion designer.</p><p>Born in Atlanta and raised in Chicago, West gained recognition as a producer for Roc-A-Fella Records in the early 2000s, producing singles for several artists and developing the ""chipmunk soul"" sampling style. Intent on pursuing a solo career as a rapper, he released his debut studio album, <i>The College Dropout</i> (2004), to critical and commercial success. He founded the record label GOOD Music later that year. West explored diverse musical elements like orchestras, synthesizers, and autotune on the albums <i>Late Registration</i> (2005), <i>Graduation</i> (2007), and <i>808s &amp; Heartbreak</i> (2008). His fifth and sixth albums <i>My Beautiful Dark Twisted Fantasy</i> (2010) and <i>Yeezus</i> (2013) were also met with critical and commercial success. West further diversified his musical styles on <i>The Life of Pablo</i> (2016) and <i>Ye</i> (2018) and explored Christian and gospel music on <i>Jesus Is King</i> (2019). His tenth album <i>Donda</i> (2021) was released to continued commercial success but mixed critical reception. West's discography also includes the two full-length collaborative albums <i>Watch the Throne</i> (2011) with Jay-Z and <i>Kids See Ghosts</i> (2018) with Kid Cudi.
</p><p>One of the world's best-selling music artists, with over 160 million records sold, West has won 22 Grammy Awards and 75 nominations, the joint tenth-most of all time, and the joint-most Grammy awards of any rapper along with Jay-Z. Among his other awards are the <i>Billboard</i> Artist Achievement Award, a joint-record three Brit Awards for Best International Male Solo Artist and the Michael Jackson Video Vanguard Award. Six of West's albums were included on <i>Rolling Stone</i><span>'</span>s 2020 500 Greatest Albums of All Time list with the same publication naming him one of the 100 Greatest Songwriters of All Time. He holds the joint record (with Bob Dylan) for most albums (4) topping the annual Pazz &amp; Jop critic poll, and has the 5th most appearances on the <i>Billboard</i> Hot 100 (133 entries). <i>Time</i> named him one of the 100 most influential people in the world in 2005 and 2015. As a fashion designer, he has collaborated with Nike, Louis Vuitton, Gap, and A.P.C. on clothing and footwear and led the Yeezy collaboration with Adidas. He is also the founder and head of the creative content company Donda.
</p><p>West's outspoken views have received significant media coverage; he has been a frequent source of controversy due to his conduct on social media and at awards shows and public settings, as well as his comments on the music and fashion industries, U.S. politics, race, and slavery. His Christian faith, high-profile marriage to Kim Kardashian, and mental health have also been topics of media attention. In 2020, West launched an unsuccessful independent presidential campaign that primarily advocated for a consistent life ethic. In 2022, he was widely condemned and lost many sponsors and partnerships—including his collaborations with Adidas, Gap, and Balenciaga—after making a series of antisemitic statements. In November 2022, he announced his 2024 presidential campaign, appearing publicly with Nick Fuentes, a white supremacist. He later publicly praised Adolf Hitler, denied the Holocaust, and identified as a Nazi.</p>"
,,,,,,,
Lady Gaga,Stefani Joanne Angelina Germanotta,1986|3|28,New York City,2001–present,,Lady Gaga,"<p class=""mw-empty-elt"">



</p>
<p><b>Stefani Joanne Angelina Germanotta</b> (<span> <span></span></span> <i title=""English pronunciation respelling""><span>STEF</span>-ən-ee <span>JUR</span>-mə-<span>NOT</span>-ə</i>; born March 28, 1986), known professionally as <b>Lady Gaga</b>, is an American singer, songwriter, and actress. She is known for her image reinventions and musical versatility. Gaga began performing as a teenager, singing at open mic nights and acting in school plays. She studied at Collaborative Arts Project 21, through the New York University Tisch School of the Arts, before dropping out to pursue a career in music. After Def Jam Recordings canceled her contract, she worked as a songwriter for Sony/ATV Music Publishing, where she signed a joint deal with Interscope Records and KonLive Distribution, in 2007. Gaga had her breakthrough the following year with her debut studio album, <i>The Fame,</i> and its chart-topping singles ""Just Dance"" and ""Poker Face"". The album was later reissued to include the extended play <i>The Fame Monster</i> (2009), which yielded the successful singles ""Bad Romance"", ""Telephone"", and ""Alejandro"".
</p><p>Gaga's five succeeding studio albums all debuted atop the US <i>Billboard</i> 200. Her second full-length album, <i>Born This Way</i> (2011), explored electronic rock and techno-pop and sold more than one million copies in its first week. The title track became the fastest-selling song on the iTunes Store, with over one million downloads in less than a week. Following her EDM-influenced third album, <i>Artpop</i> (2013), and its lead single ""Applause"", Gaga released the jazz album <i>Cheek to Cheek</i> (2014) with Tony Bennett, and the soft rock album <i>Joanne</i> (2016). She ventured into acting, winning awards for her leading roles in the miniseries <i>American Horror Story: Hotel</i> (2015–2016) and the musical film <i>A Star Is Born</i> (2018). Her contributions to the latter's soundtrack, which spawned the chart-topping single ""Shallow"", made her the first woman to win an Academy Award, BAFTA Award, Golden Globe Award, and Grammy Award in one year. Gaga returned to dance-pop with her sixth studio album, <i>Chromatica</i> (2020), which yielded the number-one single ""Rain on Me"". She followed this with her second collaborative album with Bennett, <i>Love for Sale</i>, and a starring role in the biopic <i>House of Gucci</i>, both in 2021.
</p><p>Having sold an estimated 170<span> </span>million records, Gaga is one of the world's best-selling music artists and the only female artist to achieve four singles that each sold at least 10<span> </span>million copies globally. Her accolades include 13 Grammy Awards, two Golden Globe Awards, 18 MTV Video Music Awards, awards from the Songwriters Hall of Fame and the Council of Fashion Designers of America, and recognition as <i>Billboard</i><span>'s</span> Artist of the Year (2010) and Woman of the Year (2015). She has also been included in several <i>Forbes</i><span>'</span> power rankings and ranked fourth on VH1's Greatest Women in Music (2012). <i>Time</i> magazine named her one of the 100 most influential people in the world in 2010 and 2019 and placed her on their All-<i>Time</i> 100 Fashion Icons list. Her philanthropy and activism focus on mental health awareness and LGBT rights; she has her own non-profit organization, the Born This Way Foundation, which supports the wellness of young people. Gaga's business ventures include Haus Labs, a vegan cosmetics brand launched in 2019.
</p>


"
,,,,,,,
Katy Perry,Katheryn Elizabeth Hudson,1984|10|25,Santa Barbara,2001–present,"* Vocals
* guitar",Katy Perry,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">


</p>
<p><b>Katheryn Elizabeth Hudson</b> (born October 25, 1984), known professionally as <b>Katy Perry</b>, is an American singer, songwriter, and television personality. Known for her influence on modern pop music and her campy style, she has been referred to as the ""Queen of Camp"" by <i>Vogue</i>. Pursuing a career in gospel music at 16, Perry released her debut album, <i>Katy Hudson</i>, under Red Hill Records in 2001, which was commercially unsuccessful. She moved to Los Angeles at 17 to venture into secular music, and later adopted the stage name ""Katy Perry"" from her mother's maiden name. She recorded an album while signed to Columbia Records, but was dropped before signing to Capitol Records.
</p><p>She rose to fame with <i>One of the Boys</i> (2008), a pop rock record containing her debut single ""I Kissed a Girl"" and follow-up single ""Hot n Cold"", which reached number one and three on the U.S. <i>Billboard</i> Hot 100 respectively. The disco-influenced pop album <i>Teenage Dream</i> (2010) spawned five U.S. number one singles—""California Gurls"", ""Teenage Dream"", ""Firework"", ""E.T."", and ""Last Friday Night (T.G.I.F.)""—becoming the only album by a female singer to do so. A reissue of the album titled <i>Teenage Dream: The Complete Confection</i> (2012) subsequently produced the U.S. number one single ""Part of Me"". Her empowerment-themed album <i>Prism</i> (2013) had two U.S. number one singles ""Roar"" and ""Dark Horse"". Both their respective music videos made Perry the first artist to have multiple videos reach one billion views on Vevo. The electropop album <i>Witness</i> (2017) featured themes of feminism and a political subtext, while <i>Smile</i> (2020) was influenced by her recent motherhood and mental health journey. Afterwards, she embarked on her Las Vegas concert residency titled Play (2021–present), receiving critical acclaim and commercial success.
</p><p>Perry is one of the best-selling music artists of all time, having sold over 143 million records worldwide. All of her studio albums released under Capitol have individually surpassed one billion streams on Spotify, totaling six billion streams. She has nine U.S. number one singles, three U.S. number one albums and has received various accolades, including a Billboard Spotlight Award (currently the only female artist to have one), four Guinness World Records, five <i>Billboard</i> Music Awards, five American Music Awards, a Brit Award, and a Juno Award. Perry has been included in the annual <i>Forbes</i> lists of highest-earning women in music from 2011 to 2019. Her acclaimed Super Bowl halftime show performance in 2015 is the most watched in history. Outside of music, she released an autobiographical documentary titled <i>Katy Perry: Part of Me</i> in 2012, voiced Smurfette in <i>The Smurfs</i> film series, and launched her own shoe line Katy Perry Collections in 2017. Perry began serving as a judge on <i>American Idol</i> during its sixteenth season in 2018. She is also the most-followed woman and the third most-followed person on Twitter, with over 100 million followers.
</p>


"
