Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary,
,,,,,,,,
Bat for Lashes,Natasha Khan,1979|10|25,London,2006–present,,Bat for Lashes,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">

</p>

<p><b>Natasha Khan</b> (born 25 October 1979), known professionally as <b>Bat for Lashes</b>, is an English singer, songwriter, producer, and multi-instrumentalist. She has released five studio albums: <i>Fur and Gold</i> (2006), <i>Two Suns</i> (2009), <i>The Haunted Man</i> (2012), <i>The Bride</i> (2016), and <i>Lost Girls</i> (2019). She has received three Mercury Prize nominations. Khan is also the vocalist for Sexwitch, a collaboration with the rock band Toy and producer Dan Carey.
</p>


",
,,,,,,,,
DJ Khaled,Khaled Mohammed Khaled,1975|11|26,{{nowrap,1998–present,,DJ Khaled,"<p class=""mw-empty-elt"">

</p>
<p><b>Khaled Mohammed Khaled</b> (born November 26, 1975), known professionally as <b>DJ Khaled</b>, is an American DJ, record executive, record producer and rapper.</p><p>Khaled first gained recognition as a radio host in the 1990s on the radio station 99 Jamz, and translated his popularity by working with hip hop collective Terror Squad as a DJ for their live performances. After gaining production credits on the group's material, Khaled released his debut studio album <i>Listennn... the Album</i> in 2006, which earned gold certification. He followed it with <i>We the Best</i> (2007), which contained the top 20 single ""I'm So Hood"". His subsequent two releases — <i>We Global</i> (2008) and <i>Victory</i> (2010) — were released after he founded the record label We the Best Music Group. Both albums charted in the top ten on the US <i>Billboard</i> 200, with the latter containing the single ""All I Do Is Win"", which was eventually certified triple platinum.
</p><p>His fifth studio album <i>We the Best Forever</i> (2011) also saw similar commercial success, and helped bring Khaled to international prominence, as it featured the song ""I'm on One"", which was his first top ten hit. His sixth and seventh albums, <i>Kiss the Ring</i> (2012) and <i>Suffering from Success</i> (2013), charted in the top ten on the <i>Billboard</i> 200, and his eighth studio album, <i>I Changed a Lot</i> (2015), peaked at number 12. In 2015 and 2016, Khaled gained worldwide attention as a media personality, due to his activity on social media. This foresaw the release of his ninth studio album <i>Major Key</i> (2016), which gained critical and commercial success; it debuted at number one the <i>Billboard</i> 200, was certified gold, and received a Grammy nomination for Best Rap Album.
</p><p>He released his tenth studio album, <i>Grateful</i>, in 2017, which contained the singles ""I'm the One"" and ""Wild Thoughts"", which charted at number one and number two on the <i>Billboard</i> Hot 100, respectively. The album debuted at number one on the <i>Billboard</i> 200, and was also certified platinum. His eleventh album, <i>Father of Asahd</i>, was released in 2019; it peaked at number two, and the song ""Higher"" won Best Rap/Sung Performance at the 62nd Annual Grammy Awards, Khaled's first Grammy award win. His eponymous twelfth album was released in 2021.
</p><p>Outside of music, Khaled has gained success as a writer, with his book <i>The Keys</i> featuring on the New York Times Best Seller list. He has also featured as an actor, appearing in <i>Spies in Disguise</i> (2019) and <i>Bad Boys for Life</i> (2020).
</p>",
,,,,,,,,
Kate Bush,Catherine Bush,1958|07|30,Bexleyheath,1975–present,,Kate Bush,"<p class=""mw-empty-elt"">

</p>

<p><b>Catherine Bush</b>  (born 30 July 1958) is an English singer, songwriter, musician, record producer and dancer.  In 1978, at the age of 19, she topped the UK Singles Chart for four weeks with her debut single ""Wuthering Heights"", becoming the first female artist to achieve a UK number one with a self-written song. Bush has since released 25 UK Top 40 singles, including the Top 10 hits ""The Man with the Child in His Eyes"", ""Babooshka"", ""Running Up That Hill"", ""Don't Give Up"" (a duet with Peter Gabriel) and ""King of the Mountain"". All ten of her studio albums reached the UK Top 10, with all but one reaching the top five, including the UK number one albums <i>Never for Ever</i> (1980), <i>Hounds of Love</i> (1985) and the greatest hits compilation <i>The Whole Story</i> (1986). She was the first British solo female artist to top the UK album charts and the first female artist to enter the album chart at number one.</p><p>Bush began writing songs at 11. She was signed to EMI Records after Pink Floyd guitarist David Gilmour helped produce a demo tape. Her debut album, <i>The Kick Inside</i>, was released in 1978. Bush slowly gained artistic independence in album production and has produced all her studio albums since <i>The Dreaming</i> (1982). She took a hiatus between her seventh and eighth albums, <i>The Red Shoes</i> (1993) and <i>Aerial</i> (2005). Bush drew attention again in 2014 with her concert residency Before the Dawn, her first shows since 1979's The Tour of Life. In 2022, ""Running Up That Hill"" received renewed attention after it appeared in the television series <i>Stranger Things</i>, becoming Bush's second UK number one and reaching the top of several other charts. It also reached number 3 on the US <i>Billboard</i> Hot 100, and its parent album, <i>Hounds of Love</i>, became Bush's first album to reach the top of a <i>Billboard</i> albums chart.
</p><p>Bush's eclectic musical style, unconventional lyrics, performances and literary themes have influenced a diverse range of artists. She has received 13 Brit Awards nominations, winning for Best British Female Artist in 1987, and has been nominated for three Grammy Awards. In 2002, Bush was recognised with an Ivor Novello Award for Outstanding Contribution to British Music. She was appointed a Commander of the Order of the British Empire (CBE) in the 2013 New Year Honours for services to music. She also became a Fellow of The Ivors Academy in the UK in 2020. That year, <i>Rolling Stone</i> ranked <i>Hounds of Love</i> at number 68 on their list of the 500 Greatest Albums of All Time. In 2021, ""Running Up That Hill"" was also listed at number 60 in <i>Rolling Stone'</i>s 500 Greatest Songs of All Time. Bush has been nominated four times for induction into the Rock and Roll Hall of Fame: 2018, 2021, 2022 and 2023. She is listed on VH1's 1999 ""100 Greatest Women of Rock and Roll"" at number 46.</p>


",
,,,,,,,,
Peter Gabriel,Peter Brian Gabriel,1950|2|13,Chobham,1967–present,,Peter Gabriel,"<p class=""mw-empty-elt"">

</p>
<p><b>Peter Brian Gabriel</b> (born 13 February 1950) is an English musician, singer, songwriter, record producer, and activist. He rose to fame as the original lead singer of the progressive rock band Genesis. After leaving Genesis in 1975, he launched a successful solo career with ""Solsbury Hill"" as his first single. His fifth studio album, <i>So</i> (1986), is his best-selling release and is certified triple platinum in the UK and five times platinum in the US. The album's most successful single, ""Sledgehammer"", won a record nine MTV Awards at the 1987 MTV Video Music Awards and, according to a report in 2011, it was MTV's most played music video of all time.</p><p>Gabriel has been a champion of world music for much of his career. He co-founded the WOMAD festival in 1982. He has continued to focus on producing and promoting world music through his Real World Records label. He has also pioneered digital distribution methods for music, co-founding OD2, one of the first online music download services. Gabriel has also been involved in numerous humanitarian efforts. In 1980, he released the anti-apartheid single ""Biko"". He has participated in several human-rights benefit concerts, including Amnesty International's Human Rights Now! tour in 1988, and co-founded the Witness human rights organisation in 1992. Gabriel developed The Elders with Richard Branson, which was launched by Nelson Mandela in 2007.</p><p>Gabriel has won three Brit Awards—winning Best British Male in 1987, six Grammy Awards, thirteen MTV Video Music Awards, the first Pioneer Award at the BT Digital Music Awards, the <i>Q</i> magazine Lifetime Achievement, the Ivor Novello Award for Lifetime Achievement, and the Polar Music Prize. He was made a BMI Icon at the 57th annual BMI London Awards for his ""influence on generations of music makers"". In recognition of his many years of human rights activism, he received the Man of Peace award from the Nobel Peace Prize laureates in 2006, and <i>Time</i> magazine named him one of the 100 most influential people in the world in 2008. AllMusic has described Gabriel as ""one of rock's most ambitious, innovative musicians, as well as one of its most political"". He was inducted into the Rock and Roll Hall of Fame as a member of Genesis in 2010, followed by his induction as a solo artist in 2014. In March 2015, he was awarded an honorary doctorate from the University of South Australia in recognition of his achievements in music.
</p>",
,,,,,,,,
Benny Benassi,Marco Benassi,1967|7|13,Reggio Emilia,1985–present,Keyboards|synthesizer|music sequencer|drum machine|turntables,Benny Benassi,"<p><b>Marco</b> ""<b>Benny</b>"" <b>Benassi</b> (<small>Italian pronunciation: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""it-Latn-fonipa"">[ˈmarko ˈbɛnni beˈnassi]</span>; born 13 July 1967) is an Italian DJ, record producer and remixer. He is widely seen as a pioneer of electro house, a genre brought into the mainstream by his 2002 summer club hit ""Satisfaction"".</p><p>He started his career as DJ along with his cousin Alessandro ""Alle"" Benassi, forming the electronica duo Benassi Bros. Although he began to gain popularity with his pseudonym in 1997 by releasing the song ""Electric Flying"", his first international hit was ""I Feel So Fine"", launched in 2001 under the nickname KMC.
</p><p>In 2003, Benassi released his first solo debut album, <i>Hypnotica</i>, to positive reviews. Known as a pioneer album for electro-house, it incorporates electroclash sounds, many elements of house music and MacInTalk voices, and won the European Border Breakers Award. The following year, the debut album of the Benassi Bros., <i>Pumphonia</i>, was released. Their track ""Illusion"" became very popular in the American club scene, finally peaking at number 4 on Hot Dance Club Play. Following ""Hit My Heart"" peaked at 15.
</p><p>In 2008, his remix of Public Enemy's ""Bring the Noise"" won the Grammy Award for Best Remixed Recording at the 50th Grammy Awards. In 2009, Benassi also entered the Top 100 DJs list from <i>DJ Mag</i> at #26, while in 2011 was rated #7 on DJ Poll Top 100 by <i>DJ List</i> web site.</p>",
