Artist,Type,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary
Don Henley,artist,Donald Hugh Henley,1947|7|22,Gilmer,1970–present,,Don Henley,"<p class=""mw-empty-elt"">
</p>

<p><b>Donald Hugh Henley</b> (born July 22, 1947) is an American musician, and a founding member of the rock band Eagles, for whom he is the drummer and one of the lead vocalists. Henley sang the lead vocals on Eagles hits such as ""Witchy Woman"", ""Desperado"", ""Best of My Love"", ""One of These Nights"", ""Hotel California"", ""Life in the Fast Lane"", ""The Last Resort"", ""The Long Run"" and ""Get Over It"".
</p><p>After the Eagles disbanded in 1980, Henley pursued a solo career and released his debut studio album <i>I Can't Stand Still</i>, in 1982. He has released five studio albums, two compilation albums, and one live DVD. His solo hits include ""Dirty Laundry"", ""The Boys of Summer"", ""All She Wants to Do Is Dance"", ""Sunset Grill"", ""Not Enough Love in the World"", ""The End of the Innocence"", ""The Last Worthless Evening"" and ""The Heart of the Matter"".
</p><p>The Eagles have sold over 150 million albums worldwide, won six Grammy Awards, had five number one singles, 17 top 40 singles, and six number one albums. They were inducted into the Rock and Roll Hall of Fame in 1998 and are the highest selling American band in history. As a solo artist, Henley has sold over 10 million albums worldwide, had eight top 40 singles, won two Grammy Awards and five MTV Video Music Awards. Combined with the Eagles and as a solo artist, Henley has released 25 top 40 singles on the <i>Billboard</i> Hot 100. He has also released seven studio albums with the Eagles and five as a solo artist. In 2008, he was ranked as the 87th greatest singer of all time by <i>Rolling Stone</i> magazine.</p><p>Henley has also played a founding role in several environmental and political causes, most notably the Walden Woods Project. From 1994 to 2016, he divided his musical activities between the Eagles and his solo career.
</p>"
Ricky Martin,artist,Enrique Martín Morales,1971|12|24,San Juan,1984–present,Vocals,Ricky Martin,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">

</p>
<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p><b>Enrique <span>""</span>Ricky<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r886047488""><span>""</span> Martín Morales</b> (born December 24, 1971) is a Puerto Rican singer, songwriter, and actor. He is known for his musical versatility, with his discography spanning Latin pop, pop, dance, reggaeton, and salsa genres. Dubbed the ""King of Latin Pop"", the ""King of Latin Music"", and the ""Latin Pop God"", he is regarded as one of the most influential artists in the world. Born in San Juan, Martin began appearing in television commercials at age nine and began his musical career at twelve, as a member of Puerto Rican boy band Menudo. He began his solo career in 1991 while in Sony Music Mexico, gaining recognition in Latin America with the release of his first two studio albums, <i>Ricky Martin</i> (1991) and <i>Me Amaras</i> (1993), both of which were focused on ballads.
</p><p>Martin's third album, <i>A Medio Vivir</i> (1995), helped him rise to prominence in European countries. The chart-topping single ""María"", incorporated a mixture of Latin music genres and became his first international hit. His international success was further solidified with his fourth album, <i>Vuelve</i> (1998). The album, which earned Martin his first Grammy Award, spawned chart-topping songs ""Vuelve"" and ""La Copa de la Vida"". Martin performed the latter at the 41st Annual Grammy Awards, which was greeted with a massive standing ovation and is known as a game-changer for Latin music worldwide. His first English album, <i>Ricky Martin</i> (1999) became his first US <i>Billboard</i> 200 number one. The lead single ""Livin' la Vida Loca"" topped both the <i>Billboard</i> Hot 100 and the UK Singles Chart. Martin's success in the late 1990s is generally seen as the beginning of the ""Latin explosion"". He has been credited for propelling the Latin pop music genre to mainstream recognition, paving the way for a large number of Latin artists to achieve global success.
</p><p>Martin has since established his status as a pop icon and a sex symbol, releasing several successful albums, including all-time Latin bestsellers <i>Almas del Silencio</i> (2003) and <i>MTV Unplugged</i> (2006), as well as Grammy Award winner <i>A Quien Quiera Escuchar</i> (2015). He has also amassed many successful singles and chart-toppers, including ""She Bangs"", ""Nobody Wants to Be Lonely"", ""Tal Vez"", ""Tu Recuerdo"", ""La Mordidita"", ""Vente Pa' Ca"", and ""Canción Bonita"". As an actor, Martin gained popularity and stardom for his role in the hit soap opera <i>General Hospital</i> (1994–1996), while his portrayal of Antonio D'Amico in <i>The Assassination of Gianni Versace: American Crime Story</i> (2018) marked the acting opportunity of his career, garnering him an Emmy nomination. He also starred as Ché in the Broadway revival of the musical <i>Evita</i> in 2012, which broke the theater's box-office sales record seven times.
</p><p>Martin is one of the best-selling Latin music artists of all time, having sold over 70 million records worldwide. He has scored 11 <i>Billboard</i> Hot Latin Songs number-one songs, and won over 200 awards (most awarded male Latin artist), including two Grammy Awards, five Latin Grammy Awards, five MTV Video Music Awards (tied for most wins by a Latin artist), two American Music Awards, three Latin American Music Awards, three <i>Billboard</i> Music Awards, nine <i>Billboard</i> Latin Music Awards, eight World Music Awards, fourteen Lo Nuestro Awards, a <i>Guinness World Record</i>, and a star on the Hollywood Walk of Fame. He is ranked among the Greatest Latin Artists of All Time, the Greatest Music Video Artists of All Time, and the Most Influential Latin Artists of All Time by <i>Billboard</i>. His philanthropy and activism focus on LGBT rights and fighting against human trafficking; in 2004, he founded The Ricky Martin Foundation, a non-profit, non-governmental organization that focuses on denouncing human trafficking and educating about the crime's existence.
</p>"
Fat Joe,artist,Joseph Antonio Cartagena,1970|8|19,New York City,1992–present,,Fat Joe,"<p class=""mw-empty-elt"">

</p>
<p><b>Joseph Antonio Cartagena</b> (born August 19, 1970), better known by his stage name <b>Fat Joe</b>, is an American rapper from New York City. He began his music career as a member of hip hop group Diggin' in the Crates Crew (D.I.T.C.), then forged a solo career and set up his own label, Terror Squad, to which he signed Big Pun, Remy Ma, Tony Sunshine, Cuban Link, Armageddon, Prospect, Triple Seis, and a then-unknown DJ Khaled; he also discovered producers Cool &amp; Dre.
</p><p>Fat Joe's debut solo album, <i>Represent</i>, was released in 1993 and spawned the single ""Flow Joe"", which reached number one on the <i>Billboard</i> Hot Rap Songs chart. His most commercially successful album to date was <i>Jealous Ones Still Envy (J.O.S.E.)</i> (2001); it was certified platinum by the RIAA and internationally certified silver by the BPI, as well as reaching the top 100 on multiple music charts. He is best known for the songs ""Lean Back"" (2004; with Terror Squad), ""What's Luv?"" (2002; featuring Ashanti and Ja Rule), ""Make It Rain"" (2006; featuring Lil Wayne), and ""All the Way Up"" (2016; with Remy Ma featuring French Montana and Dre).
</p><p>Fat Joe has appeared in several films, including <i>Scary Movie 3</i> and <i>Happy Feet</i>, as well as Spike Lee's Netflix series <i>She's Gotta Have It.</i> In 2018 he began hosting a podcast on Tidal, <i>Coca Vision</i>, where he discusses music, friendships, and pop culture with various guests. His album <i>Family Ties</i> was released in December 2019.</p>"
Daddy Yankee,artist,,1977|2|3,San Juan,1990–2023,,Daddy Yankee,"<p class=""mw-empty-elt"">


</p>

<p><b>Ramón Luis Ayala Rodríguez</b> (born February 3, 1977), known professionally as <b>Daddy Yankee</b>, is a retired Puerto Rican rapper, singer, songwriter, and actor. Known as the ""King of Reggaeton"" by music critics and fans alike, he is the artist who coined the word <i>reggaeton</i> in 1991 in the mixtape Playero 34 in the song ""So persigueme, no te detengas"" to describe the new music genre that was emerging from Puerto Rico that synthesized American hip-hop, Hispanic Caribbean music, and Jamaican reggae rhythms with Spanish rapping and singing. He is often cited as an influence by other Hispanic urban performers.
</p><p>Ayala was born in Río Piedras and was raised in the Villa Kennedy Housing Projects neighborhood. He aspired to be a professional baseball player and tried out for the Seattle Mariners of Major League Baseball. Before he could be officially signed, he was hit by a stray round from an AK-47 rifle while taking a break from a studio recording session with reggaeton artist DJ Playero. Ayala spent roughly a year and a half recovering from the wound; the bullet was never removed from his hip, and he credits the shooting incident with allowing him to focus entirely on a music career.</p><p>In 2004, Daddy Yankee released his international hit single ""Gasolina"", which is credited with introducing reggaeton to audiences worldwide, and making the music genre a global phenomenon. Since then, he has sold around 30 million records, making him one of the best-selling Latin music artists. Daddy Yankee's album <i>Barrio Fino</i> made history when it became the top-selling Latin music album of the decade between 2000 and 2009.</p><p>In 2017, Daddy Yankee, in collaboration with Latin pop singer Luis Fonsi, released the hit single ""Despacito"". It became the first Spanish-language song to hit number one on the <i>Billboard</i> Hot 100 since ""Macarena"" in 1996. The single gained global success. The video for ""Despacito"" on YouTube received its billionth view on April 20, 2017, and became the most-watched video on the platform. Its success led Daddy Yankee to become the most-listened artist worldwide on the streaming service Spotify in June 2017, the first Latin artist to do so. In March 2022, Daddy Yankee announced that he would be retiring from music after the release of his seventh studio album <i>Legendaddy</i> and its supporting tour.</p><p>During his career, Daddy Yankee earned numerous accolades, including five Latin Grammy Awards, two <i>Billboard</i> Music Awards, 14 <i>Billboard</i> Latin Music Awards, two Latin American Music Awards, eight Lo Nuestro Awards, an MTV Video Music Award, and six ASCAP Awards. He also received a Puerto Rican Walk of Fame star, special awards by <i>People en Español</i> magazine, and the Presencia Latina at Harvard University. He was named by CNN as the ""Most Influential Hispanic Artist"" of 2009, and included in <i>Time</i> 100 in 2006.</p>

"
Peaches,artist,Merrill Nisker,1966|11|11,Toronto,1990–present,,Peaches (musician),"<p class=""mw-empty-elt"">

</p>

<p><b>Merrill Nisker</b> (born 11 November 1966), better known by her stage name <b>Peaches</b>, is a Canadian electroclash musician and producer.
</p><p>Born in Ontario, Peaches began her musical career in the 1990s as part of a folk trio, Mermaid Cafe. In 1995, she established a rock band, the Shit. That year she also released her first solo album, <i>Fancypants Hoodlum</i>. After moving to Berlin, Germany, she was signed to the Kitty-Yo label and released her second album, <i>The Teaches of Peaches</i> (2000). Touring as the opening act for bands like Marilyn Manson and Queens of the Stone Age, she subsequently released her third album, <i>Fatherfucker</i> (2003).
</p><p>Peaches' songs have been featured in films such as <i>Mean Girls</i>, <i>Waiting...</i>, <i>Jackass Number Two</i>, <i>My Little Eye</i>, <i>Drive Angry</i>, and <i>Lost in Translation</i>. Her music has also been featured on television shows such as <i>Orphan Black</i>, <i>Lost Girl</i>, <i>The L Word</i>, <i>South Park</i>, <i>Skam</i>, <i>The Handmaid's Tale</i>, <i>30 Rock</i>, <i>True Blood</i>, <i>Fresh Meat</i>, <i>Full Frontal with Samantha Bee</i>, <i>The Boys</i>, <i>Sex Education</i>, and <i>Letterkenny</i>, and has been used for the promotion of <i>Dirt</i>. Peaches has performed guest vocals on several songs, including ""Oh My God"" from Pink's album <i>Try This</i>, ""We Don't Play Guitars"" from Chicks on Speed's album <i>99 Cents</i>, ""My Girls"" from Christina Aguilera's 2010 album <i>Bionic</i> (produced by — and co-written with — Le Tigre), and ""Scare Me"" from Major Lazer's 2013 album <i>Free the Universe</i> (also featuring Timberlee).
</p>"
Dinah Washington,artist,Ruth Lee Jones,1924|8|29,Tuscaloosa,1941–63,"*[[Vocals]]
*[[piano]]
*[[vibraphone]]",Dinah Washington,"<p class=""mw-empty-elt"">
</p>

<p><b>Dinah Washington</b> (born <b>Ruth Lee Jones</b>; August 29, 1924 – December 14, 1963) was an American singer and pianist, one of the most popular black female recording artists of the 1950s.  Primarily a jazz vocalist, she performed and recorded in a wide variety of styles including blues, R&amp;B, and traditional pop music, and gave herself the title of ""Queen of the Blues"". She was a 1986 inductee of the Alabama Jazz Hall of Fame, and was inducted into the Rock and Roll Hall of Fame in 1993.
</p>"
A Fine Frenzy,artist,"[[Seattle, Washington]], U.S.",1984|12|23,Seattle,1997–present,"*Vocals 
*piano
*guitar",Alison Sudol,"<p class=""mw-empty-elt"">
</p>
<p><b>Alison Sudol</b> (born December 23, 1984) is an American actress and musician. She is known as the singer <b>A Fine Frenzy</b>, and for her role as Queenie Goldstein in <i>Fantastic Beasts and Where to Find Them</i> (2016), as well as its sequels <i>The Crimes of Grindelwald</i> (2018) and <i>The Secrets of Dumbledore</i> (2022). Her music has been featured in numerous television shows and movies.
</p>

"
Ben E. King,artist,Benjamin Earl Nelson,1938|09|28,Henderson,1958–2015,| Vocals | piano,Ben E. King,"<p class=""mw-empty-elt"">
</p>

<p><b>Benjamin Earl King</b> (né <b>Nelson</b>; September 28, 1938 – April 30, 2015) was an American soul and R&amp;B singer and record producer. 
</p><p>He rose to prominence as one of the principal lead singers of the R&amp;B vocal group The Drifters, notably singing the lead vocals of one of their biggest global hit singles (and only U.S. No. 1 hit), ""Save the Last Dance for Me"". As a soloist, King is best known as the singer and co-composer of ""Stand by Me"", which became a US Top 10 hit, both in 1961 and later in 1986 (when it was used as the theme to the film of the same name), and a number one hit in the United Kingdom in 1987. It was also placed on the RIAA's list of Songs of the Century. 
</p><p>Besides ""Stand By Me"", King's songs ""There Goes My Baby"" and ""Spanish Harlem"" also appeared on the Rock and Roll Hall of Fame's list of 500 Songs That Shaped Rock and Roll. His single ""Supernatural Thing"" also reached the top ten on the <i>Billboard Hot 100</i>. King was inducted into the Rock and Roll Hall of Fame in 1988, as a member of the Drifters, and has been nominated as a solo artist. Additionally, he was inducted alongside the Drifters into Vocal Group Hall of Fame in 2000, as well as the Songwriters Hall of Fame in 2012 (solo).</p>"
Chris Rea,artist,Christopher Anton Rea,1951|3|4,Middlesbrough,1973–present,"*Vocals
*guitar
*piano",Chris Rea,"<p class=""mw-empty-elt"">

</p>

<p><b>Christopher Anton Rea</b> (<span></span> <i title=""English pronunciation respelling""><span>REE</span>-ə</i>; born 4 March 1951) is an English rock and blues singer and guitarist from Middlesbrough. A ""gravel-voiced guitar stalwart"" known for his slide guitar playing, Rea has recorded twenty five solo albums, two of which topped the UK Albums Chart. Described as ""rock's ultimate survivor"", given his recovery from several bouts of serious illness, Rea was ""a major European star by the time he finally cracked the UK Top 10"" with his single ""The Road to Hell (Part 2)"". The album, <i>The Road to Hell</i> (1989), topped the album chart, as did its successor, <i>Auberge</i> (1991). His many hit songs include ""I Can Hear Your Heartbeat"", ""Stainsby Girls"", ""Josephine"", ""On the Beach"", ""Let's Dance"", ""Driving Home for Christmas"", ""Working on It"", ""Tell Me There's a Heaven"", ""Auberge"" and ""Julia"". He also recorded a duet with Elton John, ""If You Were Me"". Rea was nominated three times for the Brit Award for Best British Male Artist: in 1988, 1989 and 1990.</p><p>He has never toured the United States, where he is best known for the 1978 single ""Fool (If You Think It's Over)"", which reached No. 12 on the <i>Billboard</i> Hot 100 and spent three weeks at No. 1 on the Adult Contemporary chart, earning him a Grammy nomination as Best New Artist in 1978. A decade later, ""Working On It"" topped the Mainstream Rock chart. He has sold more than 40 million records worldwide.</p>"
Kid Rock,artist,Robert James Ritchie,1971|1|17,Romeo,1988–present,"* Vocals
* guitar",Kid Rock,"<p class=""mw-empty-elt"">

</p>

<p><b>Robert James Ritchie</b> (born January 17, 1971), known professionally as <b>Kid Rock</b> (also known as <b>Bobby Shazam</b>), is an American singer, songwriter and rapper. His style alternates between rock, hip hop, country, and metal. A self-taught musician, he has said that he can play every instrument in his backing band and has overseen production on all but two of his albums.
</p><p>Kid Rock started his music career as a rapper and DJ, releasing his debut album <i>Grits Sandwiches for Breakfast</i> (1990) on Jive Records. His subsequent independent releases <i>The Polyfuze Method</i> (1993) and <i>Early Mornin' Stoned Pimp</i> (1996) saw him developing a more distinctive style, which was fully realized on his breakthrough album <i>Devil Without a Cause</i> (1998), which sold 14 million copies. This album and its follow-up, <i>Cocky</i> (2001), were noted for blending elements of hip hop, country and rock. His most successful single from that period, ""Cowboy"" (1999), is considered a pioneering song in the country rap genre. His best-selling singles overall are ""Picture"" (2002) and ""All Summer Long"" (2008). Starting with his 2007 album <i>Rock n Roll Jesus</i>, his musical output has tended to be in the country and rock styles.
</p>"
