Band,Origin,Years Active,Page Title,Summary,
,,,,,
The Wombats,Liverpool,2003–present,The Wombats,"<p class=""mw-empty-elt"">

</p>
<p><b>The Wombats</b> are an English indie rock band formed in Liverpool in 2003, consisting of Matthew Murphy (lead vocals, guitar, keyboards), Tord Øverland Knudsen (bass, backing vocals, keyboards), and Dan Haggis (drums, backing vocals, keyboards). They are independent and have distribution deals with AWAL and Warner Music Australia. They have sold over 1 million albums worldwide. They created several EPs before releasing their first full album, <i>Girls, Boys and Marsupials</i> (2006), which was released only in Japan.
</p><p>The band's debut studio album, <i>A Guide to Love, Loss &amp; Desperation</i> (2007), featured some tracks first released on <i>Girls, Boys and Marsupials</i>. After releasing a self-titled EP in 2008 and touring for three years, the band released and toured for the albums <i>This Modern Glitch</i> (2011), <i>Glitterbug</i> (2015), and <i>Beautiful People Will Ruin Your Life</i> (2018). Their fifth album, <i>Fix Yourself, Not the World</i> (2022), became their first No. 1 album when it reached the top of the UK Albums Chart within a week of release.</p>",
,,,,,
The Stone Roses,Manchester,1983–1996|2011–2017,The Stone Roses,"<p class=""mw-empty-elt"">

</p>
<p><b>The Stone Roses</b> were an English rock band formed in Manchester in 1983. One of the pioneering groups of the Madchester movement in the late 1980s and early 1990s, the band's classic and most prominent lineup consisted of vocalist Ian Brown, guitarist John Squire, bassist Mani and drummer Reni.
</p><p>The band released their debut album, <i>The Stone Roses</i>, in 1989. The album was a breakthrough success for the band and received critical acclaim, many regarding it as one of the greatest British albums ever recorded. At this time the group decided to capitalise on their success by signing to a major label. Their record label at the time, Silvertone, would not let them out of their contract, which led to a long legal battle that culminated with the band signing with Geffen Records in 1991.
</p><p>The Stone Roses released their second album, <i>Second Coming</i>, in 1994, which received mixed reviews. The group soon disbanded after several line-up changes throughout the supporting tour, which began with Reni departing in early 1995, followed by Squire in April 1996. Brown and Mani dissolved the remains of the group in October 1996 following their appearance at Reading Festival.
</p><p>Following much intensified media speculation, the Stone Roses called a press conference on 18 October 2011 to announce that the band had reunited and would perform a reunion world tour in 2012, including three homecoming shows in Heaton Park, Manchester. Plans to record a third album in the future were also floated but only two singles were released. In June 2012, Chris Coghill, the writer of a new film which is set during the Stone Roses 1990 Spike Island show, revealed that the band ""have at least three or four new tracks recorded"". In June 2013, a documentary about the band's reformation directed by Shane Meadows and titled <i>The Stone Roses: Made of Stone</i> was released.</p><p>In 2016, the Stone Roses released their first new material in two decades. The band members continued to tour until June 2017, at which point cryptic remarks by Brown indicated the band had split again, which was later confirmed in a 2019 interview with Squire.</p>


",
,,,,,
Swedish House Mafia,Stockholm,,Swedish House Mafia,"<p class=""mw-empty-elt"">
</p>
<p><b>Swedish House Mafia</b> (<b>SHM</b>) is a Swedish house music supergroup consisting of Axwell, Steve Angello and Sebastian Ingrosso. The group officially formed in late 2008, were placed at number ten on the <i>DJ Mag</i> Top 100 DJ Poll 2011, and have been called ""the faces of mainstream progressive house music"", while being credited for ""setting the tone for the EDM boom of the early 2010s, more than any other act in modern dance music"". In 2012, they were ranked at number twelve on the <i>DJ Mag</i> Top 100 Poll. The trio is best known for their biggest hit single to date, ""Don't You Worry Child"".</p><p>On 24 June 2012, the group announced they would split up. Their final performance was at Ultra Miami on 24 March 2013. For the next five years, Angello worked solo, while Axwell and Ingrosso performed as the duo, Axwell &amp; Ingrosso. On 25 March 2018, the group reunited with a surprise closing set at the 20th anniversary of Ultra Music Festival in Miami, Florida. The group released their debut studio album, <i>Paradise Again</i>, on 15 April 2022 through their new label, Republic.</p>

",
,,,,,
Basement Jaxx,London,1994–present,Basement Jaxx,"<p class=""mw-empty-elt"">
</p>
<p><b>Basement Jaxx</b> are an English electronic music duo consisting of Felix Buxton and Simon Ratcliffe. The pair got their name from the regular club night they held in Brixton, London, UK. They first rose to popularity in the underground house scene of the mid-1990s, but would go on to find international chart success and win Best Dance Act at both the 2002 and 2004 BRIT Awards. Their most successful singles are ""Red Alert"", ""Rendez-Vu"", ""Romeo"" and ""Where's Your Head At"".
</p>


",
,,,,,
Daughtry,McLeansville,2006–present,Daughtry (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Daughtry</b> <span></span> is an American rock band formed and fronted by namesake Chris Daughtry, who was a finalist on the fifth season of <i>American Idol</i>. Their self-titled debut album was released in November 2006 and reached number one on the <i>Billboard</i> 200. The album went on to sell more than six million copies in the United States, and has been certified six times platinum by the RIAA. <i>Daughtry</i> was also named the best selling album of 2007 by <i>Billboard</i>, becoming the fastest-selling debut rock album in Nielsen SoundScan history. The album produced four top 20 hits on the <i>Billboard</i> Hot 100, including top five hits ""It's Not Over"" and ""Home"".
</p><p>The band's second album, <i>Leave This Town</i>, was released in July 2009 and debuted at number one on the <i>Billboard</i> 200 chart, becoming Daughtry's second number one album in the United States. To date, <i>Leave This Town</i> has sold over 1.3 million copies in the United States and has been certified platinum by the RIAA. The album's lead single, ""No Surprise"", became the band's fifth top 20 hit on the Hot 100. Their third studio album, <i>Break the Spell</i>, was released in November 2011 and debuted within the top 10 on the <i>Billboard</i> 200 chart. The album has been certified Gold by the RIAA. Daughtry's fourth studio album, <i>Baptized</i>, was released in November 2013, and debuted at number six on the <i>Billboard</i> 200 chart, selling approximately 90,000 units. They released their fifth and sixth albums, <i>Cage to Rattle</i> and <i>Dearly Beloved</i>, in July 2018 and September 2021, respectively. To date, Daughtry has sold over 9 million albums and over 25.6 million digital tracks in the U.S.</p>",
,,,,,
The Dandy Warhols,Portland,,The Dandy Warhols,"<p class=""mw-empty-elt"">

</p>
<p><b>The Dandy Warhols</b> are an American alternative rock band, formed in Portland, Oregon, in 1994 by singer-guitarist Courtney Taylor-Taylor and guitarist Peter Holmström. They were later joined by keyboardist Zia McCabe and drummer Eric Hedford. Hedford left in 1998 and was replaced by Taylor-Taylor's cousin Brent DeBoer. The band's name is a play on the name of American pop artist Andy Warhol.
</p><p>The band gained recognition after they were signed to Capitol Records and released their major label album debut, <i>...The Dandy Warhols Come Down</i>, in 1997. In 2001, the band rose to new levels of fame after their song ""Bohemian Like You"" enjoyed extensive exposure due to being featured in a Vodafone advertisement. The Dandy Warhols were the subject of the 2004 documentary film <i>Dig!</i>, along with San Francisco psychedelic outfit The Brian Jonestown Massacre. They have released 10 studio albums, two compilation albums, six EPs, and 27 singles to date.</p>",
,,,,,
