Band,Type,Origin,Years Active,Page Title,Summary
múm,band,Iceland,1997–present,Múm,"<p class=""mw-empty-elt"">
</p>
<p><b>Múm</b> (stylized in lowercase) (<small>Icelandic pronunciation: ​</small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""is-Latn-fonipa"">[muːm]</span>) is an Icelandic indietronica band whose music is characterized by soft vocals, electronic glitch beats and effects, and a variety of traditional and unconventional instruments.
</p>"
John Mellencamp,band,,1976–present,John Mellencamp,"<p class=""mw-empty-elt"">
</p>

<p><b>John J. Mellencamp</b> (born October 7, 1951), previously known as <b>Johnny Cougar</b>, <b>John Cougar</b>, and <b>John Cougar Mellencamp</b>, is an American singer-songwriter. He is known for his catchy brand of heartland rock, which emphasizes traditional instrumentation.
</p><p>Mellencamp rose to fame in the 1980s while ""honing an almost startlingly plainspoken writing style"" that, starting in 1982, yielded a string of Top 10 singles, including ""Hurts So Good"", ""Jack &amp; Diane"", ""Crumblin' Down"", ""Pink Houses"", ""Lonely Ol' Night"", ""Small Town"", ""R.O.C.K. in the U.S.A."", ""Paper in Fire"", and ""Cherry Bomb"". He has amassed 22 Top 40 hits in the United States. In addition, he holds the record for the most tracks by a solo artist to hit number one on the Hot Mainstream Rock Tracks chart, with seven. Mellencamp has been nominated for 13 Grammy Awards, winning one. His latest album of original songs, <i>Strictly a One-Eyed Jack</i>, was released on January 21, 2022. Mellencamp has sold over 30 million albums in the US and over 60 million worldwide.
</p><p>Mellencamp is also one of the founding members of Farm Aid, an organization that began in 1985 with a concert in Champaign, Illinois, to raise awareness about the loss of family farms and to raise funds to keep farm families on their land. Farm Aid concerts have remained an annual event over the past 37 years, and as of 2022 the organization has raised over $60 million.
</p><p>Mellencamp was inducted into the Rock and Roll Hall of Fame in 2008, followed by an induction into the Songwriters Hall of Fame in 2018.</p>"
Kaskade,band,Chicago,1995–present,Kaskade,"<p class=""mw-empty-elt"">
</p>

<p><b>Ryan Gary Raddon</b> (born February 25, 1971), better known by his stage name <b>Kaskade</b>, is an American DJ, record producer and remixer. <i>DJ Times</i> voted Kaskade ""America's Best DJ"" in 2011 and 2013. <i>DJ Mag</i> named Kaskade fifty-first on its 2009 list of Top 100 DJs.</p>"
House of Pain,band,Los Angeles,1991–1996|2010–2011|2017,House of Pain,"<p class=""mw-empty-elt"">
</p>
<p><b>House of Pain</b> was an American hip-hop trio that released three albums in the 1990s. The group consisted of DJ Lethal, Danny Boy, and Everlast. The group's name is a reference to the H. G. Wells novel <i>The Island of Dr. Moreau</i>, a reference carried further by the naming of their 2011 tour <i>He Who Breaks the Law</i>. The group is best known for its 1992 hit single ""Jump Around"", which reached number 3 in their native United States of America, number 6 in Ireland and number 8 in the United Kingdom. The group broke up in 1996 due to what Everlast described as a toxic environment fueled by Danny Boy's drug addiction. Lead rapper Everlast eventually went on to pursue a solo career as a blues rock artist and member of the supergroup La Coka Nostra which also featured DJ Lethal. House of Pain reunited briefly in 2010 for a world tour.
</p>"
Tosca,band,,,Tosca,"<p><i><b>Tosca</b></i> is an opera in three acts by Giacomo Puccini to an Italian libretto by Luigi Illica and Giuseppe Giacosa. It premiered at the Teatro Costanzi in Rome on 14 January 1900. The work, based on Victorien Sardou's 1887 French-language dramatic play, <i>La Tosca</i>, is a melodramatic piece set in Rome in June 1800, with the Kingdom of Naples's control of Rome threatened by Napoleon's invasion of Italy. It contains depictions of torture, murder, and suicide, as well as some of Puccini's best-known lyrical arias.
</p><p>Puccini saw Sardou's play when it was touring Italy in 1889 and, after some vacillation, obtained the rights to turn the work into an opera in 1895. Turning the wordy French play into a succinct Italian opera took four years, during which the composer repeatedly argued with his librettists and publisher. <i>Tosca</i> premiered at a time of unrest in Rome, and its first performance was delayed for a day for fear of disturbances. Despite indifferent reviews from the critics, the opera was an immediate success with the public.
</p><p>Musically, <i>Tosca</i> is structured as a through-composed work, with arias, recitative, choruses and other elements musically woven into a seamless whole. Puccini used Wagnerian leitmotifs to identify characters, objects and ideas. While critics have often dismissed the opera as a facile melodrama with confusions of plot—musicologist Joseph Kerman famously called it a ""shabby little shocker""—the power of its score and the inventiveness of its orchestration have been widely acknowledged. The dramatic force of <i>Tosca</i> and its characters continues to fascinate both performers and audiences, and the work remains one of the most frequently performed operas. Many recordings of the work have been issued, both of studio and live performances.
</p>"
Atmosphere,band,Minneapolis,1996–present,Atmosphere (music group),"<p class=""mw-empty-elt"">
</p>

<p><b>Atmosphere</b> is an American hip hop duo from Minneapolis, Minnesota, consisting of rapper Slug (Sean Daley) and DJ/producer Ant (Anthony Davis).  Since its formation in 1996, the group has released twelve studio albums and ten extended plays.</p>"
Mayday Parade,band,Tallahassee,2005–present,Mayday Parade,"<p><b>Mayday Parade</b> is an American rock band from Tallahassee, Florida. Their debut EP <i>Tales Told by Dead Friends</i> was released in 2006, and sold over 50,000 copies without any label support. In July 2007, Mayday Parade released their debut album <i>A Lesson in Romantics</i>. After signing to Fearless in 2006, the band also signed onto a major label with Atlantic in 2009. Their second studio album, <i>Anywhere but Here</i> was released in October 2009 and their third album, entitled <i>Mayday Parade</i>, was released in October 2011. Mayday Parade's fourth album, titled <i>Monsters in the Closet</i>, was released in October 2013. Their fifth album, titled <i>Black Lines</i>, was released October 2015. In April 2018, the band signed to Rise Records and released their sixth studio album <i>Sunnyland</i> on June 15, 2018. Their seventh studio album <i>What It Means To Fall Apart</i>, was released in 2021.
</p>

"
Three 6 Mafia,band,Memphis,1991–present,Three 6 Mafia,"<p class=""mw-empty-elt"">
</p>
<p><b>Three 6 Mafia</b> is an American hip hop group from Memphis, Tennessee, formed in 1991. Emerging as a horror-themed underground hip hop group, they would eventually go on to enjoy mainstream success. The group's 1995 debut album <i>Mystic Stylez</i> would go on to become an influential cult classic. They have released music on independent labels such as Prophet Entertainment and their own Hypnotize Minds label, as well as Relativity, Loud, and Columbia Records.
</p><p>Two of their albums are RIAA-certified platinum: <i>When the Smoke Clears: Sixty 6, Sixty 1</i> (2000) and <i>Most Known Unknown</i> (2005), the latter featured their hit single ""Stay Fly"". In 2006 the group won the Academy Award for Best Original Song at the 78th Academy Awards for their song ""It's Hard out Here for a Pimp"" from the film <i>Hustle &amp; Flow</i>. The group's latest studio album, <i>Last 2 Walk</i>, was released in 2008. Three 6 Mafia's worldwide album sales stand at 5.5 million as of 2016.</p>"
Dirty Pretty Things,band,London,"2005–2008, 2022—present",Dirty Pretty Things (band),"<p class=""mw-empty-elt"">

</p>
<p><b>Dirty Pretty Things</b> were an English band fronted by Carl Barât, a member of The Libertines. The formation of the band was announced in September 2005, after a dispute between Barât and Pete Doherty led to the breakup of The Libertines in 2004. Barât had worked with Vertigo Records and had previously revealed that his new project was with the label. Didz Hammond announced he was leaving the Cooper Temple Clause to join the band alongside Libertines drummer Gary Powell and guitarist Anthony Rossomando, who had filled in for Doherty following his departure from The Libertines. They played their first shows in October 2005 in Rome, Italy and Paris, France. They announced their split on 1 October 2008 and played their final shows during November that year.</p><p>After adopting the name Dirty Pretty Things, problems arose - a four-piece band from Salisbury had been playing as ""Dirty Pretty Things"" since early January 2005, claiming to have already trademarked the name in the UK. The two groups came to an agreement over the name, and the other band was renamed Mitchell Devastation. An Australian band had been playing under ""Dirty Pretty Things"" since 2003, although it also opted to change it. The name was shared by Barât's club nights in venues throughout London; they assumed the name ""Bright Young Things"" to avoid confusion.
</p>

"
MSTRKRFT,band,Toronto,2005–present,Mstrkrft,"<p class=""mw-empty-elt"">
</p>
<p><b>Mstrkrft</b> (stylized as <b>MSTRKRFT</b>; disemvowelment of ""master craft"") is a Canadian electronic music duo from Toronto. The group was started in 2005 by Jesse F. Keeler of Death from Above and Al-P (Alex Puodziukas) formerly of the Mississauga, Ontario electropop group Girlsareshort. Al-P was also the producer for Death from Above 1979's album <i>You're a Woman, I'm a Machine</i> as well as several of (Jesse's former band) Black Cat #13's records. The duo have been close friends, as well as work partners, for a long time. Mstrkrft also produced Die Mannequin's first EP, <i>How to Kill</i>, and Magneta Lane's second LP, <i>Dancing With Daggers</i>.</p><p>Mstrkrft have been commissioned to remix songs by such artists as Death From Above 1979, Justice, Kylie Minogue, Katy Perry, Bloc Party, Ayumi Hamasaki, Metric, Wolfmother, Annie and The Kills.</p>

"
